Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
"Kingston upon Hull, City of",12 (7 -- 21),Decreasing,0.77 (0.61 -- 0.93),-0.067 (-0.11 -- -0.018),-10 (-38 -- -6)
Kingston upon Thames,6 (3 -- 17),Stable,0.98 (0.74 -- 1.5),-0.0056 (-0.074 -- 0.12),-120 (5.9 -- -9.4)
Kirklees,38 (24 -- 64),Likely decreasing,0.94 (0.78 -- 1.2),-0.018 (-0.063 -- 0.043),-39 (16 -- -11)
Knowsley,4 (1 -- 22),Stable,0.99 (0.53 -- 2.1),-0.0021 (-0.14 -- 0.28),-320 (2.5 -- -4.9)
Lambeth,3 (1 -- 8),Likely decreasing,0.84 (0.62 -- 1.2),-0.047 (-0.11 -- 0.046),-15 (15 -- -6.3)
Lancashire,37 (21 -- 81),Likely decreasing,0.9 (0.7 -- 1.3),-0.028 (-0.086 -- 0.078),-25 (8.8 -- -8.1)
Leeds,37 (20 -- 64),Decreasing,0.77 (0.59 -- 0.98),-0.067 (-0.12 -- -0.0042),-10 (-160 -- -5.7)
Leicester,26 (15 -- 44),Likely decreasing,0.87 (0.69 -- 1.1),-0.038 (-0.09 -- 0.022),-18 (31 -- -7.7)
Leicestershire,25 (15 -- 43),Likely decreasing,0.85 (0.7 -- 1.1),-0.041 (-0.088 -- 0.02),-17 (34 -- -7.9)
Lewisham,2 (1 -- 7),Likely decreasing,0.8 (0.55 -- 1.2),-0.057 (-0.13 -- 0.046),-12 (15 -- -5.2)
Lincolnshire,19 (11 -- 32),Decreasing,0.75 (0.6 -- 0.91),-0.07 (-0.12 -- -0.026),-9.9 (-27 -- -5.8)
Lisburn and Castlereagh,2 (0 -- 6),Likely decreasing,0.8 (0.47 -- 1.2),-0.058 (-0.16 -- 0.066),-12 (11 -- -4.4)
Liverpool,3 (0 -- 10),Likely decreasing,0.63 (0.3 -- 1.1),-0.11 (-0.22 -- 0.024),-6.3 (29 -- -3.2)
Luton,24 (14 -- 48),Likely decreasing,0.95 (0.76 -- 1.3),-0.013 (-0.068 -- 0.073),-53 (9.5 -- -10)
Manchester,43 (19 -- 134),Stable,1.1 (0.73 -- 1.8),0.014 (-0.079 -- 0.21),48 (3.3 -- -8.8)
Medway,4 (2 -- 8),Likely decreasing,0.86 (0.68 -- 1.1),-0.039 (-0.093 -- 0.029),-18 (24 -- -7.5)
