Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Redbridge,0 (0 -- 2),Likely increasing,1.1 (0.63 -- 1.4),0.016 (-0.11 -- 0.11),44 (6.2 -- -6.4)
Redcar and Cleveland,0 (0 -- 0),Likely decreasing,0.36 (0.0095 -- 1.5),-0.2 (-0.37 -- 0.13),-3.5 (5.2 -- -1.9)
Rochdale,0 (0 -- 2),Stable,0.99 (0.5 -- 1.4),-0.0017 (-0.15 -- 0.095),-410 (7.3 -- -4.6)
Rotherham,1 (0 -- 10),Stable,0.98 (0.2 -- 1.5),-0.0059 (-0.26 -- 0.14),-120 (5 -- -2.6)
Salford,0 (0 -- 4),Stable,1 (0.49 -- 1.5),0.0047 (-0.15 -- 0.12),150 (5.8 -- -4.5)
Sandwell,2 (0 -- 16),Likely increasing,1.1 (0.68 -- 1.8),0.031 (-0.092 -- 0.21),23 (3.4 -- -7.5)
Sefton,1 (0 -- 27),Likely increasing,1.1 (0.47 -- 2.2),0.02 (-0.16 -- 0.29),35 (2.4 -- -4.4)
Sheffield,1 (0 -- 7),Stable,1 (0.43 -- 1.4),0.0047 (-0.17 -- 0.099),150 (7 -- -4)
Shropshire,0 (0 -- 6),Stable,1 (0.16 -- 1.7),0.0028 (-0.28 -- 0.17),240 (4.2 -- -2.5)
Solihull,0 (0 -- 3),Stable,0.97 (0.14 -- 1.5),-0.008 (-0.29 -- 0.14),-86 (4.9 -- -2.4)
Somerset,1 (0 -- 12),Stable,1.1 (0.24 -- 1.9),0.017 (-0.24 -- 0.22),41 (3.1 -- -2.9)
South Gloucestershire,0 (0 -- 7),Stable,0.98 (0.15 -- 1.8),-0.0044 (-0.29 -- 0.2),-160 (3.4 -- -2.4)
South Lanarkshire,0 (0 -- 1),Likely decreasing,0.71 (0.11 -- 1.5),-0.085 (-0.31 -- 0.14),-8.1 (5 -- -2.3)
South Tyneside,0 (0 -- 83),Stable,0.97 (0.24 -- 4),-0.0077 (-0.25 -- 0.64),-91 (1.1 -- -2.8)
St. Helens,0 (0 -- 6),Stable,1.1 (0.4 -- 1.6),0.016 (-0.18 -- 0.15),43 (4.7 -- -3.8)
Staffordshire,0 (0 -- 8),Likely decreasing,0.9 (0.37 -- 1.7),-0.029 (-0.2 -- 0.18),-24 (4 -- -3.5)
Stockport,0 (0 -- 2),Stable,0.99 (0.5 -- 1.5),-0.0019 (-0.15 -- 0.13),-370 (5.4 -- -4.6)
