region,time
Baden-Württemberg,26.3
Bayern,22.9
Berlin,16.4
Brandenburg,24.4
Bremen,8.8
Hamburg,24.3
Hessen,21.4
Mecklenburg-Vorpommern,17.5
Niedersachsen,27
Nordrhein-Westfalen,22.3
Rheinland-Pfalz,18.3
Saarland,18.1
Sachsen,22.8
Sachsen-Anhalt,22.5
Schleswig-Holstein,22.2
Thüringen,27.1
