region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,bottom,top,lower,upper,central_lower,central_upper
Wales,2020-11-28,,forecast,-0.046,-0.044,0.043,,,,,,,-0.113,0.022,-0.074,-0.025,-0.064,-0.046
Wales,2020-11-01,,estimate,-0.045,-0.045,0.013,,,,,,,-0.065,-0.024,-0.054,-0.037,-0.045,-0.039
Northern Ireland,2020-10-20,,estimate,-0.043,-0.044,0.011,,,,,,,-0.062,-0.027,-0.051,-0.036,-0.044,-0.039
Northern Ireland,2020-10-21,,estimate,-0.043,-0.044,0.011,,,,,,,-0.062,-0.025,-0.05,-0.035,-0.049,-0.043
Northern Ireland,2020-10-19,,estimate,-0.043,-0.043,0.011,,,,,,,-0.062,-0.026,-0.05,-0.036,-0.045,-0.04
Northern Ireland,2020-10-22,,estimate,-0.043,-0.043,0.012,,,,,,,-0.062,-0.025,-0.049,-0.034,-0.047,-0.041
Northern Ireland,2020-10-18,,estimate,-0.042,-0.042,0.011,,,,,,,-0.06,-0.025,-0.048,-0.034,-0.045,-0.039
Northern Ireland,2020-10-23,,estimate,-0.042,-0.042,0.012,,,,,,,-0.061,-0.023,-0.049,-0.034,-0.041,-0.035
Wales,2020-10-31,,estimate,-0.041,-0.042,0.012,,,,,,,-0.062,-0.024,-0.051,-0.035,-0.041,-0.036
Northern Ireland,2020-10-17,,estimate,-0.04,-0.04,0.011,,,,,,,-0.057,-0.022,-0.047,-0.033,-0.043,-0.038
Northern Ireland,2020-10-24,,estimate,-0.04,-0.04,0.012,,,,,,,-0.059,-0.021,-0.047,-0.031,-0.042,-0.037
Northern Ireland,2020-10-16,,estimate,-0.038,-0.038,0.011,,,,,,,-0.055,-0.02,-0.043,-0.029,-0.039,-0.034
Northern Ireland,2020-10-25,,estimate,-0.038,-0.038,0.012,,,,,,,-0.058,-0.019,-0.045,-0.03,-0.042,-0.036
Wales,2020-10-30,,estimate,-0.037,-0.038,0.011,,,,,,,-0.055,-0.019,-0.045,-0.03,-0.037,-0.031
Northern Ireland,2020-10-26,,estimate,-0.036,-0.036,0.012,,,,,,,-0.055,-0.015,-0.044,-0.028,-0.039,-0.033
Northern Ireland,2020-10-15,,estimate,-0.034,-0.034,0.011,,,,,,,-0.051,-0.016,-0.04,-0.026,-0.035,-0.03
Northern Ireland,2020-10-27,,estimate,-0.034,-0.034,0.012,,,,,,,-0.055,-0.015,-0.041,-0.025,-0.039,-0.033
Wales,2020-10-29,,estimate,-0.033,-0.033,0.011,,,,,,,-0.05,-0.016,-0.039,-0.025,-0.036,-0.031
Northern Ireland,2020-10-28,,estimate,-0.031,-0.031,0.012,,,,,,,-0.051,-0.012,-0.04,-0.024,-0.034,-0.029
Northern Ireland,2020-10-14,,estimate,-0.03,-0.03,0.011,,,,,,,-0.048,-0.013,-0.036,-0.022,-0.031,-0.026
North West,2020-11-09,,estimate based on partial data,-0.029,-0.029,0.022,,,,,,,-0.063,0.007,-0.043,-0.016,-0.034,-0.024
North West,2020-11-10,,estimate based on partial data,-0.029,-0.029,0.024,,,,,,,-0.067,0.009,-0.042,-0.012,-0.033,-0.022
Northern Ireland,2020-10-29,,estimate,-0.029,-0.028,0.012,,,,,,,-0.047,-0.008,-0.039,-0.023,-0.033,-0.027
North West,2020-11-11,,estimate based on partial data,-0.029,-0.028,0.026,,,,,,,-0.068,0.013,-0.044,-0.013,-0.033,-0.022
North West,2020-11-12,,estimate based on partial data,-0.029,-0.028,0.028,,,,,,,-0.073,0.015,-0.046,-0.012,-0.039,-0.026
North West,2020-11-08,,estimate based on partial data,-0.028,-0.029,0.02,,,,,,,-0.06,0.003,-0.041,-0.016,-0.035,-0.025
Wales,2020-10-28,,estimate,-0.028,-0.028,0.01,,,,,,,-0.045,-0.011,-0.035,-0.022,-0.03,-0.025
North West,2020-11-06,,estimate based on partial data,-0.028,-0.028,0.016,,,,,,,-0.054,-0.001,-0.04,-0.019,-0.032,-0.024
North West,2020-11-07,,estimate based on partial data,-0.028,-0.028,0.018,,,,,,,-0.056,0.002,-0.038,-0.015,-0.032,-0.024
North West,2020-11-13,,estimate based on partial data,-0.028,-0.028,0.03,,,,,,,-0.076,0.02,-0.047,-0.012,-0.041,-0.028
North West,2020-11-14,,estimate based on partial data,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-15,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-16,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-17,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-18,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-19,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-20,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-21,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-22,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-23,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-24,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-25,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-26,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-27,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-28,,forecast,-0.028,-0.028,0.032,,,,,,,-0.079,0.023,-0.048,-0.01,-0.036,-0.022
North West,2020-11-05,,estimate based on partial data,-0.027,-0.028,0.015,,,,,,,-0.051,-0.002,-0.038,-0.018,-0.032,-0.025
North West,2020-11-04,,estimate based on partial data,-0.027,-0.027,0.014,,,,,,,-0.049,-0.005,-0.035,-0.017,-0.03,-0.023
Northern Ireland,2020-10-30,,estimate,-0.026,-0.026,0.012,,,,,,,-0.046,-0.005,-0.036,-0.019,-0.032,-0.026
North West,2020-11-03,,estimate,-0.026,-0.026,0.012,,,,,,,-0.045,-0.005,-0.035,-0.018,-0.027,-0.021
Northern Ireland,2020-10-13,,estimate,-0.025,-0.025,0.011,,,,,,,-0.043,-0.008,-0.032,-0.017,-0.027,-0.021
North West,2020-11-02,,estimate,-0.025,-0.025,0.011,,,,,,,-0.043,-0.006,-0.032,-0.017,-0.028,-0.022
North West,2020-11-01,,estimate,-0.024,-0.024,0.011,,,,,,,-0.041,-0.007,-0.031,-0.017,-0.025,-0.02
Northern Ireland,2020-10-31,,estimate,-0.024,-0.023,0.013,,,,,,,-0.045,-0.002,-0.033,-0.016,-0.031,-0.024
North West,2020-10-31,,estimate,-0.023,-0.023,0.01,,,,,,,-0.04,-0.008,-0.028,-0.015,-0.026,-0.021
Wales,2020-10-27,,estimate,-0.022,-0.023,0.01,,,,,,,-0.04,-0.006,-0.028,-0.015,-0.023,-0.019
North West,2020-10-30,,estimate,-0.021,-0.021,0.009,,,,,,,-0.037,-0.007,-0.027,-0.015,-0.021,-0.016
Northern Ireland,2020-11-01,,estimate,-0.021,-0.02,0.014,,,,,,,-0.043,0.002,-0.031,-0.012,-0.025,-0.019
North West,2020-10-29,,estimate,-0.019,-0.02,0.009,,,,,,,-0.033,-0.005,-0.025,-0.013,-0.021,-0.016
Northern Ireland,2020-10-12,,estimate,-0.019,-0.019,0.011,,,,,,,-0.039,-0.003,-0.026,-0.012,-0.022,-0.016
North West,2020-10-28,,estimate,-0.018,-0.018,0.008,,,,,,,-0.031,-0.004,-0.022,-0.011,-0.019,-0.015
Northern Ireland,2020-11-02,,estimate,-0.018,-0.018,0.015,,,,,,,-0.041,0.008,-0.03,-0.01,-0.022,-0.014
