region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,bottom,top,lower,upper,central_lower,central_upper
North East and Yorkshire,2020-11-03,,estimate,-0.003,-0.003,0.014,,,,,,,-0.026,0.019,-0.013,0.005,-0.005,0.001
Scotland,2020-11-07,,estimate based on partial data,-0.003,-0.003,0.02,,,,,,,-0.036,0.031,-0.019,0.007,-0.005,0.005
Scotland,2020-11-08,,estimate based on partial data,-0.003,-0.003,0.023,,,,,,,-0.04,0.035,-0.018,0.011,-0.005,0.006
Scotland,2020-11-09,,estimate based on partial data,-0.003,-0.002,0.026,,,,,,,-0.047,0.036,-0.02,0.012,-0.011,0
Scotland,2020-11-10,,estimate based on partial data,-0.003,-0.002,0.028,,,,,,,-0.047,0.044,-0.023,0.012,-0.012,0
North West,2020-10-19,,estimate,-0.002,-0.002,0.008,,,,,,,-0.016,0.011,-0.008,0.003,-0.005,-0.001
South West,2020-09-07,,estimate,-0.002,-0.002,0.014,,,,,,,-0.026,0.021,-0.013,0.007,-0.006,0.001
North West,2020-10-18,,estimate,-0.001,-0.001,0.008,,,,,,,-0.015,0.012,-0.007,0.004,-0.005,-0.001
Scotland,2020-10-14,,estimate,-0.001,-0.001,0.009,,,,,,,-0.017,0.013,-0.007,0.005,-0.005,-0.001
North East and Yorkshire,2020-11-02,,estimate,-0.001,-0.001,0.012,,,,,,,-0.021,0.02,-0.008,0.008,-0.006,0.001
Wales,2020-10-23,,estimate,-0.001,0,0.011,,,,,,,-0.017,0.017,-0.008,0.005,-0.005,0
North West,2020-10-17,,estimate,0,0,0.008,,,,,,,-0.012,0.015,-0.006,0.005,-0.001,0.003
United Kingdom,2020-11-06,,estimate based on partial data,0,0,0.017,,,,,,,-0.027,0.028,-0.01,0.011,-0.004,0.004
United Kingdom,2020-11-07,,estimate based on partial data,0,0,0.019,,,,,,,-0.033,0.029,-0.012,0.011,-0.003,0.005
United Kingdom,2020-11-08,,estimate based on partial data,0,0,0.021,,,,,,,-0.033,0.036,-0.013,0.013,-0.006,0.003
United Kingdom,2020-11-09,,estimate based on partial data,0,0,0.023,,,,,,,-0.037,0.039,-0.016,0.013,-0.006,0.003
United Kingdom,2020-11-10,,estimate based on partial data,0,0,0.026,,,,,,,-0.041,0.044,-0.017,0.015,-0.003,0.008
United Kingdom,2020-11-11,,estimate based on partial data,0,0,0.029,,,,,,,-0.045,0.048,-0.02,0.015,-0.007,0.005
Midlands,2020-11-09,,estimate based on partial data,0,0,0.03,,,,,,,-0.045,0.051,-0.017,0.022,-0.006,0.007
United Kingdom,2020-11-12,,estimate based on partial data,0,0,0.031,,,,,,,-0.05,0.051,-0.022,0.016,-0.008,0.005
Midlands,2020-11-10,,estimate based on partial data,0,0,0.033,,,,,,,-0.051,0.055,-0.018,0.023,-0.009,0.006
United Kingdom,2020-11-13,,estimate based on partial data,0,0,0.034,,,,,,,-0.058,0.052,-0.021,0.02,-0.009,0.006
Midlands,2020-11-11,,estimate based on partial data,0,0,0.037,,,,,,,-0.061,0.058,-0.023,0.023,-0.009,0.008
Midlands,2020-11-12,,estimate based on partial data,0,0,0.041,,,,,,,-0.064,0.066,-0.028,0.022,-0.012,0.006
United Kingdom,2020-11-14,,estimate based on partial data,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-15,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-16,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-17,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-18,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-19,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-20,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-21,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-22,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-23,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-24,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-25,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-26,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-27,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
United Kingdom,2020-11-28,,forecast,0,0.001,0.037,,,,,,,-0.062,0.056,-0.023,0.02,-0.011,0.005
Midlands,2020-11-13,,estimate based on partial data,0,0.001,0.044,,,,,,,-0.078,0.064,-0.033,0.022,-0.004,0.016
Midlands,2020-11-14,,estimate based on partial data,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-15,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-16,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-17,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-18,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-19,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-20,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-21,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-22,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-23,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-24,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-25,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-26,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-27,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
Midlands,2020-11-28,,forecast,0,0.001,0.048,,,,,,,-0.081,0.073,-0.032,0.027,-0.005,0.016
United Kingdom,2020-11-05,,estimate based on partial data,0.001,0,0.015,,,,,,,-0.025,0.024,-0.007,0.012,-0.001,0.006
North West,2020-10-16,,estimate,0.001,0.001,0.008,,,,,,,-0.011,0.015,-0.005,0.005,-0.003,0.001
Scotland,2020-10-13,,estimate,0.001,0.001,0.009,,,,,,,-0.014,0.016,-0.005,0.007,-0.002,0.002
United Kingdom,2020-11-03,,estimate,0.001,0.001,0.012,,,,,,,-0.019,0.021,-0.007,0.008,-0.001,0.005
United Kingdom,2020-11-04,,estimate based on partial data,0.001,0.001,0.013,,,,,,,-0.021,0.023,-0.009,0.009,-0.001,0.005
Midlands,2020-11-08,,estimate based on partial data,0.001,0.001,0.027,,,,,,,-0.041,0.045,-0.016,0.018,-0.004,0.008
North East and Yorkshire,2020-10-10,,estimate,0.002,0.001,0.01,,,,,,,-0.015,0.018,-0.005,0.008,0,0.005
North West,2020-10-15,,estimate,0.002,0.002,0.008,,,,,,,-0.01,0.016,-0.004,0.006,-0.002,0.002
North East and Yorkshire,2020-10-11,,estimate,0.002,0.002,0.01,,,,,,,-0.015,0.018,-0.004,0.009,0,0.004
North East and Yorkshire,2020-10-09,,estimate,0.002,0.002,0.01,,,,,,,-0.015,0.018,-0.004,0.009,0,0.005
United Kingdom,2020-11-01,,estimate,0.002,0.002,0.01,,,,,,,-0.013,0.02,-0.006,0.008,0.001,0.006
United Kingdom,2020-11-02,,estimate,0.002,0.002,0.011,,,,,,,-0.018,0.018,-0.005,0.009,0.001,0.006
North East and Yorkshire,2020-11-01,,estimate,0.002,0.002,0.012,,,,,,,-0.017,0.02,-0.004,0.011,-0.001,0.005
South East,2020-09-10,,estimate,0.002,0.002,0.012,,,,,,,-0.017,0.022,-0.007,0.009,-0.002,0.004
Midlands,2020-11-07,,estimate based on partial data,0.002,0.002,0.024,,,,,,,-0.034,0.043,-0.013,0.018,-0.002,0.01
South West,2020-09-08,,estimate,0.002,0.003,0.014,,,,,,,-0.019,0.026,-0.007,0.011,-0.002,0.005
North West,2020-10-14,,estimate,0.003,0.003,0.008,,,,,,,-0.01,0.016,-0.002,0.008,0.001,0.005
Scotland,2020-10-12,,estimate,0.003,0.003,0.009,,,,,,,-0.012,0.018,-0.003,0.009,0.001,0.006
North East and Yorkshire,2020-10-12,,estimate,0.003,0.003,0.01,,,,,,,-0.013,0.019,-0.004,0.009,0,0.005
North East and Yorkshire,2020-10-08,,estimate,0.003,0.003,0.01,,,,,,,-0.013,0.02,-0.003,0.01,0.003,0.008
United Kingdom,2020-10-31,,estimate,0.003,0.003,0.01,,,,,,,-0.012,0.019,-0.003,0.009,0.001,0.005
Northern Ireland,2020-10-09,,estimate,0.003,0.003,0.011,,,,,,,-0.015,0.021,-0.005,0.009,-0.001,0.004
England,2020-11-07,,estimate based on partial data,0.003,0.003,0.019,,,,,,,-0.03,0.033,-0.01,0.015,0.001,0.01
Midlands,2020-11-06,,estimate based on partial data,0.003,0.003,0.021,,,,,,,-0.03,0.038,-0.01,0.017,-0.003,0.007
England,2020-11-08,,estimate based on partial data,0.003,0.003,0.022,,,,,,,-0.033,0.036,-0.012,0.016,-0.002,0.008
England,2020-11-09,,estimate based on partial data,0.003,0.003,0.024,,,,,,,-0.037,0.04,-0.014,0.017,-0.003,0.008
England,2020-11-10,,estimate based on partial data,0.003,0.003,0.027,,,,,,,-0.044,0.042,-0.017,0.017,-0.004,0.008
England,2020-11-11,,estimate based on partial data,0.003,0.003,0.03,,,,,,,-0.043,0.051,-0.014,0.023,-0.008,0.006
England,2020-11-12,,estimate based on partial data,0.003,0.003,0.032,,,,,,,-0.05,0.053,-0.016,0.023,-0.007,0.007
England,2020-11-13,,estimate based on partial data,0.003,0.003,0.035,,,,,,,-0.051,0.062,-0.016,0.026,-0.008,0.007
England,2020-11-14,,estimate based on partial data,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-15,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-16,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-17,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-18,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-19,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-20,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-21,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-22,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-23,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-24,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-25,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-26,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-27,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-28,,forecast,0.003,0.004,0.038,,,,,,,-0.056,0.067,-0.017,0.028,-0.006,0.01
England,2020-11-06,,estimate based on partial data,0.004,0.003,0.017,,,,,,,-0.024,0.032,-0.008,0.014,0.002,0.01
North West,2020-10-13,,estimate,0.004,0.004,0.008,,,,,,,-0.009,0.017,-0.002,0.008,0.002,0.006
United Kingdom,2020-10-30,,estimate,0.004,0.004,0.009,,,,,,,-0.011,0.019,-0.001,0.011,0.004,0.008
North East and Yorkshire,2020-10-13,,estimate,0.004,0.004,0.01,,,,,,,-0.011,0.02,-0.002,0.011,0.003,0.008
North East and Yorkshire,2020-10-31,,estimate,0.004,0.004,0.011,,,,,,,-0.015,0.021,-0.003,0.012,0.002,0.007
England,2020-11-04,,estimate based on partial data,0.004,0.004,0.014,,,,,,,-0.019,0.025,-0.004,0.013,0.002,0.008
England,2020-11-05,,estimate based on partial data,0.004,0.004,0.015,,,,,,,-0.022,0.028,-0.007,0.013,0.001,0.008
Midlands,2020-11-05,,estimate based on partial data,0.005,0.004,0.019,,,,,,,-0.025,0.035,-0.006,0.018,0.001,0.01
North West,2020-10-12,,estimate,0.005,0.005,0.008,,,,,,,-0.009,0.017,-0.001,0.01,0.001,0.005
United Kingdom,2020-10-29,,estimate,0.005,0.005,0.009,,,,,,,-0.009,0.019,-0.001,0.011,0.004,0.009
North East and Yorkshire,2020-10-07,,estimate,0.005,0.005,0.01,,,,,,,-0.011,0.022,-0.003,0.011,0.004,0.009
England,2020-11-02,,estimate,0.005,0.005,0.011,,,,,,,-0.014,0.022,-0.001,0.014,0.003,0.008
Wales,2020-10-22,,estimate,0.005,0.005,0.011,,,,,,,-0.012,0.023,-0.004,0.01,0.003,0.009
England,2020-11-03,,estimate,0.005,0.005,0.012,,,,,,,-0.016,0.024,-0.003,0.013,0.003,0.008
South West,2020-11-13,,estimate based on partial data,0.005,0.008,0.059,,,,,,,-0.089,0.099,-0.035,0.037,-0.014,0.012
South West,2020-11-14,,estimate based on partial data,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-15,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-16,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-17,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-18,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-19,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-20,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-21,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-22,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-23,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-24,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-25,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-26,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-27,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
South West,2020-11-28,,forecast,0.005,0.009,0.064,,,,,,,-0.095,0.111,-0.038,0.04,-0.004,0.024
East of England,2020-09-01,,estimate,0.006,0.005,0.008,-0.01,0,0.004,0.007,0.011,0.018,,,,,,
East of England,2020-08-31,,estimate,0.006,0.005,0.008,-0.009,0,0.004,0.008,0.011,0.019,,,,,,
East of England,2020-09-02,,estimate,0.006,0.005,0.009,-0.01,0,0.004,0.008,0.011,0.018,,,,,,
North West,2020-10-11,,estimate,0.006,0.006,0.008,,,,,,,-0.007,0.018,0.001,0.011,0.004,0.008
Scotland,2020-10-11,,estimate,0.006,0.006,0.009,,,,,,,-0.009,0.02,-0.001,0.011,0.003,0.007
United Kingdom,2020-10-28,,estimate,0.006,0.006,0.009,,,,,,,-0.009,0.02,0,0.011,0.004,0.009
East of England,2020-08-30,,estimate,0.006,0.006,0.009,-0.009,0,0.004,0.008,0.012,0.02,,,,,,
England,2020-11-01,,estimate,0.006,0.006,0.01,,,,,,,-0.012,0.022,-0.001,0.013,0.004,0.009
North East and Yorkshire,2020-10-14,,estimate,0.006,0.006,0.01,,,,,,,-0.01,0.021,-0.001,0.012,0.006,0.01
Midlands,2020-11-04,,estimate based on partial data,0.006,0.006,0.017,,,,,,,-0.02,0.034,-0.004,0.017,0.001,0.008
South West,2020-11-11,,estimate based on partial data,0.006,0.007,0.047,,,,,,,-0.069,0.083,-0.026,0.033,-0.008,0.014
South West,2020-11-12,,estimate based on partial data,0.006,0.008,0.053,,,,,,,-0.074,0.094,-0.031,0.034,-0.012,0.012
East of England,2020-09-03,,estimate,0.007,0.006,0.009,-0.01,0.001,0.005,0.009,0.012,0.019,,,,,,
North West,2020-10-10,,estimate,0.007,0.007,0.008,,,,,,,-0.007,0.019,0.002,0.012,0.006,0.01
United Kingdom,2020-10-27,,estimate,0.007,0.007,0.009,,,,,,,-0.007,0.022,0.001,0.012,0.005,0.009
England,2020-10-31,,estimate,0.007,0.007,0.01,,,,,,,-0.008,0.024,0.001,0.014,0.002,0.007
East of England,2020-08-29,,estimate,0.007,0.007,0.01,-0.009,0.001,0.005,0.009,0.014,0.024,,,,,,
North East and Yorkshire,2020-10-30,,estimate,0.007,0.007,0.011,,,,,,,-0.011,0.023,-0.001,0.014,0.003,0.009
South West,2020-11-08,,estimate based on partial data,0.007,0.007,0.032,,,,,,,-0.045,0.06,-0.015,0.027,0.001,0.017
South West,2020-11-09,,estimate based on partial data,0.007,0.007,0.037,,,,,,,-0.053,0.067,-0.016,0.032,0.001,0.018
South West,2020-11-10,,estimate based on partial data,0.007,0.007,0.042,,,,,,,-0.06,0.074,-0.019,0.034,0,0.02
East of England,2020-11-15,,estimate based on partial data,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-16,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-17,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-18,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-19,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-20,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-21,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-22,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-23,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-24,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-25,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-26,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-27,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-28,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-11-29,,forecast,0.008,0.005,0.039,-0.066,-0.016,-0.001,0.017,0.029,0.06,,,,,,
East of England,2020-09-04,,estimate,0.008,0.007,0.009,-0.009,0.002,0.006,0.01,0.014,0.021,,,,,,
London,2020-10-26,,estimate,0.008,0.007,0.011,,,,,,,-0.012,0.025,0.001,0.016,0.006,0.011
England,2020-10-30,,estimate,0.008,0.008,0.009,,,,,,,-0.008,0.023,0.002,0.014,0.005,0.009
Scotland,2020-10-10,,estimate,0.008,0.008,0.009,,,,,,,-0.007,0.022,0.002,0.014,0.007,0.012
United Kingdom,2020-10-26,,estimate,0.008,0.008,0.009,,,,,,,-0.006,0.023,0.001,0.013,0.006,0.01
North East and Yorkshire,2020-10-06,,estimate,0.008,0.008,0.01,,,,,,,-0.01,0.024,0.002,0.016,0.006,0.011
North East and Yorkshire,2020-10-15,,estimate,0.008,0.008,0.01,,,,,,,-0.007,0.024,0.003,0.015,0.006,0.01
London,2020-10-25,,estimate,0.008,0.008,0.011,,,,,,,-0.011,0.026,0.001,0.016,0.004,0.01
London,2020-10-24,,estimate,0.008,0.008,0.011,,,,,,,-0.01,0.026,0.002,0.016,0.008,0.013
London,2020-10-27,,estimate,0.008,0.008,0.011,,,,,,,-0.01,0.028,0.002,0.017,0.007,0.012
Midlands,2020-11-03,,estimate,0.008,0.008,0.015,,,,,,,-0.015,0.033,-0.001,0.018,0.002,0.009
South West,2020-11-06,,estimate based on partial data,0.008,0.008,0.024,,,,,,,-0.031,0.049,-0.005,0.027,-0.001,0.011
South West,2020-11-07,,estimate based on partial data,0.008,0.008,0.028,,,,,,,-0.035,0.056,-0.009,0.027,0.004,0.018
United Kingdom,2020-10-25,,estimate,0.008,0.009,0.009,,,,,,,-0.006,0.023,0.002,0.013,0.005,0.009
East of England,2020-08-28,,estimate,0.008,0.009,0.011,-0.009,0.001,0.006,0.011,0.016,0.028,,,,,,
North West,2020-10-09,,estimate,0.009,0.008,0.008,,,,,,,-0.005,0.021,0.004,0.014,0.008,0.012
London,2020-10-28,,estimate,0.009,0.008,0.011,,,,,,,-0.011,0.026,0.003,0.018,0.008,0.013
England,2020-10-29,,estimate,0.009,0.009,0.009,,,,,,,-0.006,0.024,0.003,0.014,0.007,0.011
London,2020-10-23,,estimate,0.009,0.009,0.011,,,,,,,-0.01,0.026,0.003,0.017,0.008,0.013
South West,2020-09-09,,estimate,0.009,0.009,0.013,,,,,,,-0.012,0.031,0,0.018,0.005,0.011
South West,2020-11-05,,estimate based on partial data,0.009,0.009,0.021,,,,,,,-0.028,0.041,-0.002,0.026,-0.002,0.008
United Kingdom,2020-10-24,,estimate,0.009,0.01,0.009,,,,,,,-0.005,0.024,0.003,0.014,0.005,0.009
East of England,2020-11-14,,estimate based on partial data,0.01,0.006,0.035,-0.058,-0.013,0.002,0.017,0.029,0.058,,,,,,
East of England,2020-09-05,,estimate,0.01,0.009,0.009,-0.007,0.004,0.008,0.012,0.016,0.023,,,,,,
North West,2020-10-08,,estimate,0.01,0.01,0.008,,,,,,,-0.003,0.023,0.005,0.016,0.009,0.012
England,2020-10-28,,estimate,0.01,0.01,0.009,,,,,,,-0.007,0.024,0.003,0.014,0.008,0.012
United Kingdom,2020-10-23,,estimate,0.01,0.01,0.009,,,,,,,-0.004,0.025,0.003,0.015,0.006,0.011
London,2020-10-29,,estimate,0.01,0.01,0.011,,,,,,,-0.01,0.027,0.004,0.018,0.008,0.013
South East,2020-09-11,,estimate,0.01,0.01,0.011,,,,,,,-0.009,0.028,0.002,0.017,0.007,0.013
North East and Yorkshire,2020-10-29,,estimate,0.01,0.01,0.011,,,,,,,-0.008,0.026,0.003,0.017,0.005,0.01
Wales,2020-10-21,,estimate,0.01,0.01,0.011,,,,,,,-0.008,0.027,0.001,0.015,0.007,0.012
London,2020-10-22,,estimate,0.01,0.01,0.011,,,,,,,-0.006,0.028,0.003,0.017,0.007,0.012
Midlands,2020-11-02,,estimate,0.01,0.01,0.013,,,,,,,-0.012,0.032,0,0.018,0.005,0.012
South West,2020-11-04,,estimate based on partial data,0.01,0.01,0.019,,,,,,,-0.023,0.039,-0.001,0.024,0.002,0.01
North East and Yorkshire,2020-10-16,,estimate,0.01,0.011,0.01,,,,,,,-0.005,0.027,0.003,0.015,0.008,0.012
East of England,2020-08-27,,estimate,0.01,0.011,0.013,-0.01,0.002,0.006,0.013,0.019,0.033,,,,,,
East of England,2020-11-13,,estimate based on partial data,0.011,0.008,0.032,-0.051,-0.009,0.004,0.018,0.029,0.054,,,,,,
England,2020-10-27,,estimate,0.011,0.011,0.009,,,,,,,-0.006,0.025,0.004,0.015,0.01,0.014
Scotland,2020-10-09,,estimate,0.011,0.011,0.009,,,,,,,-0.004,0.025,0.006,0.018,0.01,0.014
United Kingdom,2020-10-22,,estimate,0.011,0.011,0.009,,,,,,,-0.003,0.025,0.004,0.016,0.008,0.012
United Kingdom,2020-10-21,,estimate,0.011,0.011,0.009,,,,,,,-0.003,0.025,0.006,0.017,0.007,0.011
London,2020-10-21,,estimate,0.011,0.011,0.01,,,,,,,-0.005,0.029,0.006,0.019,0.009,0.014
London,2020-10-30,,estimate,0.011,0.011,0.011,,,,,,,-0.007,0.03,0.005,0.019,0.009,0.014
Northern Ireland,2020-10-08,,estimate,0.011,0.011,0.011,,,,,,,-0.005,0.03,0.003,0.017,0.007,0.012
South West,2020-11-03,,estimate,0.011,0.011,0.017,,,,,,,-0.017,0.038,0,0.022,0.002,0.01
United Kingdom,2020-10-20,,estimate,0.011,0.012,0.009,,,,,,,-0.003,0.025,0.005,0.016,0.008,0.012
East of England,2020-08-26,,estimate,0.011,0.012,0.016,-0.012,0.002,0.007,0.015,0.022,0.04,,,,,,
United Kingdom,2020-10-19,,estimate,0.012,0.012,0.008,,,,,,,-0.003,0.025,0.006,0.017,0.009,0.013
North West,2020-10-07,,estimate,0.012,0.012,0.008,,,,,,,-0.002,0.024,0.008,0.018,0.012,0.016
United Kingdom,2020-10-18,,estimate,0.012,0.012,0.008,,,,,,,-0.002,0.025,0.007,0.018,0.01,0.013
United Kingdom,2020-10-17,,estimate,0.012,0.012,0.008,,,,,,,-0.001,0.026,0.006,0.017,0.011,0.015
United Kingdom,2020-10-15,,estimate,0.012,0.012,0.008,,,,,,,-0.001,0.026,0.007,0.018,0.01,0.014
United Kingdom,2020-10-16,,estimate,0.012,0.012,0.008,,,,,,,-0.001,0.026,0.007,0.018,0.011,0.015
England,2020-10-26,,estimate,0.012,0.012,0.009,,,,,,,-0.003,0.027,0.006,0.017,0.011,0.015
North East and Yorkshire,2020-10-05,,estimate,0.012,0.012,0.01,,,,,,,-0.005,0.028,0.006,0.019,0.009,0.014
North East and Yorkshire,2020-10-28,,estimate,0.012,0.012,0.011,,,,,,,-0.004,0.03,0.003,0.017,0.009,0.014
South West,2020-11-02,,estimate,0.012,0.012,0.015,,,,,,,-0.012,0.038,0.003,0.023,0.007,0.014
London,2020-09-05,,estimate,0.012,0.012,0.017,,,,,,,-0.015,0.039,-0.001,0.023,0.005,0.014
England,2020-10-25,,estimate,0.012,0.013,0.009,,,,,,,-0.002,0.028,0.005,0.017,0.009,0.014
North East and Yorkshire,2020-10-17,,estimate,0.012,0.013,0.01,,,,,,,-0.003,0.029,0.006,0.019,0.01,0.014
