region,time
East of England,26.6
England,26.7
London,34
Midlands,24.7
North East and Yorkshire,25.9
North West,32.6
Northern Ireland,41.4
Scotland,33
South East,27.3
South West,28.1
Wales,23.1
United Kingdom,25.3
