region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Kabardino-Balkarian Republic,25,8,48,14,29,19,24,New confirmed cases by infection date,Unsure
Karelia Republic,25,9,44,16,30,18,23,New confirmed cases by infection date,Unsure
Mari El Republic,25,7,52,13,29,15,21,New confirmed cases by infection date,Unsure
Lipetsk Oblast,24,4,50,12,29,18,24,New confirmed cases by infection date,Unsure
Tyva Republic,22,6,47,12,27,16,21,New confirmed cases by infection date,Unsure
Zabaykalsky Krai,22,4,46,11,26,15,21,New confirmed cases by infection date,Unsure
Khakassia Republic,21,9,38,14,24,17,21,New confirmed cases by infection date,Unsure
Kurgan Oblast,20,6,38,11,22,15,19,New confirmed cases by infection date,Unsure
Adygea Republic,18,2,51,6,20,7,13,New confirmed cases by infection date,Unsure
Altai Republic,18,5,38,10,21,13,17,New confirmed cases by infection date,Unsure
Magadan Oblast,18,2,47,5,21,8,14,New confirmed cases by infection date,Unsure
Amur Oblast,16,4,34,9,19,10,14,New confirmed cases by infection date,Unsure
Kamchatka Krai,14,3,31,7,16,10,13,New confirmed cases by infection date,Unsure
North Ossetia - Alania Republic,14,2,49,4,16,6,10,New confirmed cases by infection date,Unsure
Sevastopol,10,3,21,6,12,8,10,New confirmed cases by infection date,Unsure
Chechen Republic,4,1,9,1,4,2,3,New confirmed cases by infection date,Likely decreasing
Jewish Autonomous Okrug,4,1,8,3,5,3,4,New confirmed cases by infection date,Unsure
Karachay-Cherkess Republic,1.35,0.75,2.03,1.04,1.51,1.19,1.36,Effective reproduction no.,Likely increasing
Pskov Oblast,1.26,0.8,1.8,1.01,1.38,1.11,1.24,Effective reproduction no.,Likely increasing
Kaliningrad Oblast,1.17,0.72,1.72,0.93,1.29,0.98,1.1,Effective reproduction no.,Unsure
North Ossetia - Alania Republic,1.16,0.61,2.09,0.79,1.27,0.89,1.06,Effective reproduction no.,Unsure
Republic of Crimea,1.09,0.7,1.43,0.96,1.21,1.06,1.14,Effective reproduction no.,Unsure
Dagestan Republic,1.08,0.67,1.5,0.91,1.21,1.01,1.13,Effective reproduction no.,Unsure
Kostroma Oblast,1.08,0.75,1.41,0.97,1.23,1.03,1.13,Effective reproduction no.,Unsure
Nizhny Novgorod Oblast,1.08,0.58,1.63,0.83,1.23,0.89,1.05,Effective reproduction no.,Unsure
Sevastopol,1.08,0.83,1.39,0.97,1.13,1.06,1.11,Effective reproduction no.,Unsure
Smolensk Oblast,1.08,0.5,1.8,0.8,1.3,0.84,1.02,Effective reproduction no.,Unsure
Mari El Republic,1.07,0.71,1.5,0.89,1.18,0.95,1.06,Effective reproduction no.,Unsure
Novgorod Oblast,1.06,0.76,1.39,0.93,1.14,1.01,1.08,Effective reproduction no.,Unsure
Arkhangelsk Oblast,1.04,0.7,1.42,0.92,1.15,0.99,1.07,Effective reproduction no.,Unsure
Ivanovo Oblast,1.04,0.5,1.55,0.85,1.26,0.92,1.07,Effective reproduction no.,Unsure
Kabardino-Balkarian Republic,1.04,0.73,1.41,0.9,1.15,0.97,1.07,Effective reproduction no.,Unsure
Kirov Oblast,1.04,0.65,1.57,0.83,1.16,0.93,1.06,Effective reproduction no.,Unsure
Ryazan Oblast,1.04,0.68,1.47,0.85,1.14,0.98,1.08,Effective reproduction no.,Unsure
Belgorod Oblast,1.03,0.79,1.33,0.93,1.12,1,1.06,Effective reproduction no.,Unsure
Ingushetia Republic,1.03,0.73,1.3,0.91,1.11,0.98,1.05,Effective reproduction no.,Unsure
Stavropol Krai,1.03,0.78,1.31,0.93,1.12,0.97,1.04,Effective reproduction no.,Unsure
Vladimir Oblast,1.03,0.74,1.4,0.88,1.12,0.92,1.01,Effective reproduction no.,Unsure
Vologda Oblast,1.03,0.92,1.23,0.99,1.06,1.01,1.03,Effective reproduction no.,Unsure
Kaluga Oblast,1.02,0.65,1.4,0.86,1.15,0.97,1.07,Effective reproduction no.,Unsure
Samara Oblast,1.02,0.59,1.48,0.83,1.16,0.96,1.08,Effective reproduction no.,Unsure
Kemerovo Oblast,1.01,0.73,1.34,0.9,1.12,0.98,1.06,Effective reproduction no.,Unsure
Kursk Oblast,1.01,0.72,1.33,0.89,1.11,0.96,1.04,Effective reproduction no.,Unsure
Mordovia Republic,1.01,0.73,1.33,0.87,1.09,0.93,1.01,Effective reproduction no.,Unsure
Chukotka Autonomous Okrug,1,0,3,0,1,0,0,New confirmed cases by infection date,Unsure
Nenets Autonomous Okrug,1,0,6,0,1,0,0,New confirmed cases by infection date,Unsure
Orenburg Oblast,1,0.7,1.31,0.86,1.08,0.94,1.02,Effective reproduction no.,Unsure
Rostov Oblast,1,0.63,1.39,0.84,1.12,0.89,0.99,Effective reproduction no.,Unsure
Saratov Oblast,1,0.74,1.27,0.92,1.11,0.98,1.05,Effective reproduction no.,Unsure
Yaroslavl Oblast,1,0.65,1.36,0.88,1.12,0.96,1.05,Effective reproduction no.,Unsure
Zabaykalsky Krai,1,0.59,1.45,0.81,1.14,0.96,1.08,Effective reproduction no.,Unsure
Jewish Autonomous Okrug,0.99,0.69,1.31,0.92,1.03,0.97,1,Effective reproduction no.,Unsure
Tula Oblast,0.99,0.63,1.35,0.86,1.13,0.95,1.05,Effective reproduction no.,Unsure
Voronezh Oblast,0.99,0.71,1.3,0.87,1.09,0.95,1.04,Effective reproduction no.,Unsure
Chuvashia Republic,0.98,0.65,1.32,0.84,1.08,0.93,1.01,Effective reproduction no.,Unsure
Primorsky Krai,0.98,0.65,1.38,0.84,1.11,0.92,1.01,Effective reproduction no.,Unsure
Tatarstan Republic,0.98,0.66,1.35,0.87,1.09,0.93,1,Effective reproduction no.,Unsure
Bashkortostan Republic,0.97,0.56,1.44,0.8,1.12,0.82,0.94,Effective reproduction no.,Unsure
Bryansk Oblast,0.97,0.67,1.33,0.85,1.09,0.92,1,Effective reproduction no.,Unsure
Buryatia Republic,0.97,0.66,1.29,0.85,1.06,0.92,1,Effective reproduction no.,Unsure
Lipetsk Oblast,0.97,0.51,1.36,0.81,1.13,0.95,1.07,Effective reproduction no.,Unsure
Moscow,0.97,0.6,1.36,0.81,1.09,0.87,0.97,Effective reproduction no.,Unsure
Penza Oblast,0.97,0.6,1.35,0.81,1.09,0.91,1.01,Effective reproduction no.,Unsure
Saint Petersburg,0.97,0.57,1.45,0.78,1.12,0.85,0.98,Effective reproduction no.,Unsure
Sakha (Yakutiya) Republic,0.97,0.7,1.24,0.87,1.07,0.93,1,Effective reproduction no.,Unsure
Sakhalin Oblast,0.97,0.71,1.24,0.86,1.06,0.94,1.01,Effective reproduction no.,Unsure
Ulyanovsk Oblast,0.97,0.72,1.19,0.89,1.06,0.95,1.01,Effective reproduction no.,Unsure
Altai Republic,0.96,0.67,1.31,0.82,1.04,0.86,0.94,Effective reproduction no.,Unsure
Astrakhan Oblast,0.96,0.57,1.37,0.78,1.07,0.88,0.98,Effective reproduction no.,Unsure
Khakassia Republic,0.96,0.73,1.21,0.86,1.02,0.93,0.99,Effective reproduction no.,Unsure
Krasnoyarsk Krai,0.96,0.67,1.26,0.84,1.05,0.9,0.98,Effective reproduction no.,Unsure
Omsk Oblast,0.96,0.75,1.21,0.89,1.06,0.92,0.99,Effective reproduction no.,Unsure
Perm Krai,0.96,0.68,1.3,0.83,1.06,0.91,1,Effective reproduction no.,Unsure
Volgograd Oblast,0.96,0.64,1.33,0.85,1.1,0.92,1,Effective reproduction no.,Unsure
Yamalo-Nenets Autonomous Okrug,0.96,0.75,1.2,0.86,1.02,0.92,0.98,Effective reproduction no.,Unsure
Moscow Oblast,0.95,0.63,1.27,0.81,1.06,0.87,0.96,Effective reproduction no.,Unsure
Tambov Oblast,0.95,0.67,1.31,0.8,1.04,0.84,0.93,Effective reproduction no.,Unsure
Irkutsk Oblast,0.94,0.71,1.19,0.84,1.02,0.92,0.98,Effective reproduction no.,Unsure
Tomsk Oblast,0.94,0.7,1.2,0.85,1.04,0.91,0.98,Effective reproduction no.,Unsure
Kalmykia Republic,0.93,0.21,1.82,0.43,1.06,0.7,0.93,Effective reproduction no.,Unsure
Kamchatka Krai,0.93,0.61,1.33,0.79,1.03,0.8,0.89,Effective reproduction no.,Unsure
Leningrad Oblast,0.93,0.72,1.18,0.85,0.99,0.89,0.94,Effective reproduction no.,Unsure
Tver Oblast,0.93,0.59,1.32,0.77,1.06,0.87,0.98,Effective reproduction no.,Unsure
Tyva Republic,0.93,0.55,1.3,0.76,1.03,0.85,0.95,Effective reproduction no.,Unsure
Karelia Republic,0.92,0.67,1.18,0.8,0.99,0.87,0.94,Effective reproduction no.,Unsure
Adygea Republic,0.91,0.4,1.57,0.65,1.07,0.72,0.86,Effective reproduction no.,Unsure
Altai Krai,0.91,0.45,1.38,0.71,1.07,0.78,0.91,Effective reproduction no.,Unsure
Chukotka Autonomous Okrug,0.91,0.2,1.5,0.68,1.14,0.88,1.02,Effective reproduction no.,Unsure
Sverdlovsk Oblast,0.91,0.58,1.26,0.76,1.02,0.83,0.93,Effective reproduction no.,Unsure
Amur Oblast,0.9,0.54,1.26,0.74,0.99,0.86,0.95,Effective reproduction no.,Unsure
Kurgan Oblast,0.9,0.65,1.22,0.78,0.98,0.82,0.89,Effective reproduction no.,Unsure
Chelyabinsk Oblast,0.88,0.56,1.21,0.76,0.98,0.83,0.91,Effective reproduction no.,Unsure
Khabarovsk Krai,0.85,0.61,1.09,0.77,0.94,0.84,0.9,Effective reproduction no.,Likely decreasing
Krasnodar Krai,0.85,0.54,1.17,0.68,0.93,0.8,0.89,Effective reproduction no.,Unsure
Tyumen Oblast,0.85,0.63,1.07,0.78,0.94,0.81,0.87,Effective reproduction no.,Likely decreasing
Komi Republic,0.84,0.49,1.2,0.74,1.01,0.79,0.89,Effective reproduction no.,Unsure
Udmurt Republic,0.84,0.3,1.41,0.53,0.99,0.67,0.84,Effective reproduction no.,Unsure
Magadan Oblast,0.83,0.35,1.27,0.62,0.98,0.73,0.86,Effective reproduction no.,Unsure
Orel Oblast,0.81,0.36,1.29,0.59,0.95,0.73,0.86,Effective reproduction no.,Unsure
Khanty-Mansi Autonomous Okrug,0.8,0.6,0.99,0.73,0.87,0.78,0.83,Effective reproduction no.,Decreasing
Nenets Autonomous Okrug,0.78,0.12,1.56,0.46,0.95,0.66,0.84,Effective reproduction no.,Unsure
Chechen Republic,0.77,0.42,1.08,0.61,0.86,0.72,0.81,Effective reproduction no.,Likely decreasing
Novosibirsk Oblast,0.76,0.49,1.02,0.67,0.88,0.72,0.79,Effective reproduction no.,Likely decreasing
Murmansk Oblast,0.75,0.5,0.99,0.66,0.83,0.71,0.78,Effective reproduction no.,Likely decreasing
