Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Africa,47539 (33362 -- 69918),Increasing,1.5 (1.3 -- 1.7),0.13 (0.082 -- 0.18),5.5 (3.9 -- 8.5)
Oceania,1697 (723 -- 4139),Stable,0.97 (0.68 -- 1.4),-0.0087 (-0.094 -- 0.095),-79 (7.3 -- -7.4)
