region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Africa,47539 (33362 -- 69918),47539,49070,11322,33362,41381,44837,50318,55121,69918,New confirmed cases by infection date,Increasing,0
Oceania,1697 (723 -- 4139),1697,1974,1162,723,1183,1466,1939,2458,4139,New confirmed cases by infection date,Stable,0.56
Africa,1.5 (1.3 -- 1.7),1.5,1.5,0.12,1.3,1.4,1.5,1.5,1.6,1.7,Effective reproduction no.,Increasing,0
Oceania,0.97 (0.68 -- 1.4),0.97,0.99,0.21,0.68,0.84,0.92,1,1.1,1.4,Effective reproduction no.,Stable,0.56
