region,date,confirm
Minas Gerais,2021-08-10,4133
Pará,2021-08-10,480
Paraíba,2021-08-10,194
Paraná,2021-08-10,1532
Pernambuco,2021-08-10,571
Piauí,2021-08-10,402
Rio de Janeiro,2021-08-10,1979
Rio Grande do Norte,2021-08-10,312
Rio Grande do Sul,2021-08-10,1883
Rondônia,2021-08-10,258
Roraima,2021-08-10,185
Santa Catarina,2021-08-10,2038
São Paulo,2021-08-10,10455
Sergipe,2021-08-10,442
Tocantins,2021-08-10,216
Acre,2021-08-11,45
Alagoas,2021-08-11,208
Amapá,2021-08-11,44
Amazonas,2021-08-11,350
Bahia,2021-08-11,1040
Ceará,2021-08-11,592
Distrito Federal,2021-08-11,662
Espirito Santo,2021-08-11,789
Goiás,2021-08-11,2848
Maranhão,2021-08-11,589
Mato Grosso,2021-08-11,1432
Mato Grosso do Sul,2021-08-11,337
Minas Gerais,2021-08-11,4654
Pará,2021-08-11,399
Paraíba,2021-08-11,579
Paraná,2021-08-11,2117
Pernambuco,2021-08-11,825
Piauí,2021-08-11,313
Rio de Janeiro,2021-08-11,4037
Rio Grande do Norte,2021-08-11,165
Rio Grande do Sul,2021-08-11,1815
Rondônia,2021-08-11,282
Roraima,2021-08-11,166
Santa Catarina,2021-08-11,1801
São Paulo,2021-08-11,8701
Sergipe,2021-08-11,286
Tocantins,2021-08-11,367
Acre,2021-08-12,8
Alagoas,2021-08-12,160
Amapá,2021-08-12,66
Amazonas,2021-08-12,378
Bahia,2021-08-12,1362
Ceará,2021-08-12,442
Distrito Federal,2021-08-12,661
Espirito Santo,2021-08-12,627
Goiás,2021-08-12,2803
Maranhão,2021-08-12,701
Mato Grosso,2021-08-12,1232
Mato Grosso do Sul,2021-08-12,513
Minas Gerais,2021-08-12,4525
Pará,2021-08-12,474
Paraíba,2021-08-12,422
Paraná,2021-08-12,2287
Pernambuco,2021-08-12,712
Piauí,2021-08-12,243
Rio de Janeiro,2021-08-12,4713
Rio Grande do Norte,2021-08-12,221
Rio Grande do Sul,2021-08-12,1563
Rondônia,2021-08-12,8
Roraima,2021-08-12,185
Santa Catarina,2021-08-12,1811
São Paulo,2021-08-12,9244
Sergipe,2021-08-12,149
Tocantins,2021-08-12,348
Acre,2021-08-13,9
Alagoas,2021-08-13,81
Amapá,2021-08-13,27
Amazonas,2021-08-13,354
Bahia,2021-08-13,1118
Ceará,2021-08-13,251
Distrito Federal,2021-08-13,600
Espirito Santo,2021-08-13,926
Goiás,2021-08-13,2267
Maranhão,2021-08-13,437
Mato Grosso,2021-08-13,1340
Mato Grosso do Sul,2021-08-13,569
Minas Gerais,2021-08-13,3517
Pará,2021-08-13,433
Paraíba,2021-08-13,449
Paraná,2021-08-13,2560
Pernambuco,2021-08-13,658
Piauí,2021-08-13,281
Rio de Janeiro,2021-08-13,4363
Rio Grande do Norte,2021-08-13,342
Rio Grande do Sul,2021-08-13,1356
Rondônia,2021-08-13,183
Roraima,2021-08-13,31
Santa Catarina,2021-08-13,1525
São Paulo,2021-08-13,8898
Sergipe,2021-08-13,131
Tocantins,2021-08-13,289
Acre,2021-08-14,2
Alagoas,2021-08-14,266
Amapá,2021-08-14,51
Amazonas,2021-08-14,178
Bahia,2021-08-14,1082
Ceará,2021-08-14,670
Distrito Federal,2021-08-14,1043
Espirito Santo,2021-08-14,472
Goiás,2021-08-14,740
Maranhão,2021-08-14,194
Mato Grosso,2021-08-14,487
Mato Grosso do Sul,2021-08-14,313
Minas Gerais,2021-08-14,3728
Pará,2021-08-14,16
Paraíba,2021-08-14,442
Paraná,2021-08-14,2765
Pernambuco,2021-08-14,1294
Piauí,2021-08-14,160
Rio de Janeiro,2021-08-14,3861
Rio Grande do Norte,2021-08-14,39
Rio Grande do Sul,2021-08-14,1585
Rondônia,2021-08-14,160
Roraima,2021-08-14,211
Santa Catarina,2021-08-14,1339
São Paulo,2021-08-14,8024
Sergipe,2021-08-14,37
Tocantins,2021-08-14,143
Acre,2021-08-15,2
Alagoas,2021-08-15,319
Amapá,2021-08-15,22
Amazonas,2021-08-15,119
Bahia,2021-08-15,551
Ceará,2021-08-15,230
Distrito Federal,2021-08-15,498
Espirito Santo,2021-08-15,538
Goiás,2021-08-15,829
Maranhão,2021-08-15,78
Mato Grosso,2021-08-15,273
Mato Grosso do Sul,2021-08-15,237
Minas Gerais,2021-08-15,2128
Pará,2021-08-15,49
Paraíba,2021-08-15,374
Paraná,2021-08-15,1612
Pernambuco,2021-08-15,290
Piauí,2021-08-15,65
Rio de Janeiro,2021-08-15,99
Rio Grande do Norte,2021-08-15,71
Rio Grande do Sul,2021-08-15,583
Rondônia,2021-08-15,28
Roraima,2021-08-15,32
Santa Catarina,2021-08-15,644
São Paulo,2021-08-15,3906
Sergipe,2021-08-15,44
Tocantins,2021-08-15,146
Acre,2021-08-16,3
Alagoas,2021-08-16,214
Amapá,2021-08-16,28
Amazonas,2021-08-16,177
Bahia,2021-08-16,320
Ceará,2021-08-16,133
