region,time
United Kingdom,26.4
East of England,13.6
England,22.5
London,12.8
Midlands,16.1
North East and Yorkshire,16
North West,14.8
Northern Ireland,6.9
Scotland,21
South East,14.3
South West,8.3
Wales,12.9
