region,time
Afghanistan,12.9
Albania,51.2
Algeria,6.7
Andorra,6
Angola,6.2
Anguilla,12
Antigua & Barbuda,6.1
Argentina,6.4
Armenia,12.2
Aruba,7.1
Australia,32.1
Austria,43.1
Azerbaijan,11.3
Bahamas,4.1
Bahrain,9.6
Bangladesh,15.6
Barbados,9.5
Belarus,12.8
Belgium,6.9
Belize,4.6
Benin,6.7
Bermuda,7.5
Bhutan,5.9
Bolivia,5.6
Bosnia & Herzegovina,15.6
Botswana,3.1
Brazil,4.3
British Virgin Islands,6.9
Brunei,27.3
Bulgaria,37.6
Burkina Faso,3.6
Burundi,6.3
Cambodia,1
Canada,6.8
Cape Verde,4.8
Cayman Islands,4.3
Central African Republic,6.4
Chad,4.7
Chile,27.9
China,29.6
Colombia,16.6
Comoros,5.3
Congo - Brazzaville,4.3
Congo - Kinshasa,4.3
Costa Rica,6.8
Côte d’Ivoire,4.7
Croatia,8.9
Cuba,1.1
Curaçao,24.8
Cyprus,25.8
Czechia,27.4
Denmark,28.3
Djibouti,8.7
Dominica,7.2
Dominican Republic,7.7
Ecuador,3.2
Egypt,26.4
El Salvador,4.1
Equatorial Guinea,6.8
Eritrea,5
Estonia,23.7
Eswatini,12
Ethiopia,7.1
Faroe Islands,14.7
Fiji,4.6
Finland,32.4
France,15.8
French Guiana,4.1
French Polynesia,5
Gabon,5.9
Gambia,4.1
Georgia,14.3
Germany,38.5
Ghana,4.3
Gibraltar,6.8
Greece,47.4
Greenland,8
Grenada,7.1
Guadeloupe,5.8
Guam,6.9
Guatemala,4.3
Guernsey,3.6
Guinea,4.2
Guinea-Bissau,5.7
Guyana,8.3
Haiti,5.6
Honduras,5.2
Hungary,15.1
Iceland,27
India,48.1
Indonesia,22.5
Iran,19.7
Iraq,19.7
Ireland,9.1
Isle of Man,29.7
Israel,15.6
Italy,1.1
Jamaica,7.9
Japan,44.8
Jersey,6.7
Jordan,6.7
Kazakhstan,32
Kenya,7.7
Kosovo,53.2
Kuwait,9.2
Kyrgyzstan,17
Laos,16.2
Latvia,21.5
Lebanon,8
Lesotho,9.7
Liberia,5.7
Libya,4.2
Liechtenstein,12.7
Lithuania,30.1
Luxembourg,6.6
Madagascar,8.3
Malawi,8.2
Malaysia,28.7
Maldives,8.8
Mali,4.5
Malta,24
Martinique,6.3
Mauritania,6.3
Mauritius,4.3
Mayotte,4.6
Mexico,14
Moldova,16.1
Monaco,8.2
Mongolia,6.7
Montenegro,59.9
Morocco,6.7
Mozambique,7
Myanmar (Burma),17.3
Nepal,17.1
Netherlands,1.5
New Caledonia,10
New Zealand,19.3
Nicaragua,8.4
Niger,6
Nigeria,4.9
North Macedonia,27.8
Northern Mariana Islands,3.5
Norway,36.1
Oman,4.6
Pakistan,17.7
Palestinian Territories,14.2
Panama,6.5
Papua New Guinea,7.8
Paraguay,10.6
Peru,6
Philippines,26
Poland,45.9
Portugal,27.7
Puerto Rico,8.2
Qatar,8.3
Réunion,3.9
Romania,1
Russia,55.2
Rwanda,4.5
Saint Martin (French part),4.5
San Marino,6.6
São Tomé & Príncipe,6.8
Saudi Arabia,23.3
Senegal,14.3
Serbia,1.2
Seychelles,5.1
Sierra Leone,3.2
Singapore,1.1
Sint Maarten,6.5
Slovakia,12.9
Slovenia,53.3
Somalia,5.4
South Africa,6.6
South Korea,30.2
South Sudan,3.5
Spain,23.5
Sri Lanka,12.5
St. Barthélemy,6.8
St. Kitts & Nevis,9.4
St. Lucia,12.7
St. Vincent & Grenadines,5.3
Sudan,5.3
Suriname,13.8
Sweden,18
Switzerland,15.1
Syria,10.1
Tajikistan,31.1
Thailand,36.5
Timor-Leste,13.3
Togo,4.6
Trinidad & Tobago,4.4
Tunisia,8.2
Turkey,48.2
Turks & Caicos Islands,3.7
U.S. Virgin Islands,3.8
Uganda,8.4
Ukraine,17.7
United Arab Emirates,3.9
United Kingdom,1.1
United States,15.7
Uruguay,24.4
Uzbekistan,32.5
Venezuela,13.9
Vietnam,22.7
Yemen,7.4
Zambia,4.5
Zimbabwe,5.5
