region,date,confirm
Bayern,2021-01-19,1633
Berlin,2021-01-19,490
Brandenburg,2021-01-19,527
Bremen,2021-01-19,42
Hamburg,2021-01-19,99
Hessen,2021-01-19,754
Mecklenburg-Vorpommern,2021-01-19,179
Niedersachsen,2021-01-19,885
Nordrhein-Westfalen,2021-01-19,1555
Rheinland-Pfalz,2021-01-19,452
Saarland,2021-01-19,125
Sachsen,2021-01-19,610
Sachsen-Anhalt,2021-01-19,375
Schleswig-Holstein,2021-01-19,284
Thüringen,2021-01-19,540
Baden-Württemberg,2021-01-20,1199
Bayern,2021-01-20,1606
Berlin,2021-01-20,501
Brandenburg,2021-01-20,541
Bremen,2021-01-20,57
Hamburg,2021-01-20,96
Hessen,2021-01-20,839
Mecklenburg-Vorpommern,2021-01-20,170
Niedersachsen,2021-01-20,835
Nordrhein-Westfalen,2021-01-20,1760
Rheinland-Pfalz,2021-01-20,555
Saarland,2021-01-20,128
Sachsen,2021-01-20,611
Sachsen-Anhalt,2021-01-20,414
Schleswig-Holstein,2021-01-20,283
Thüringen,2021-01-20,556
Baden-Württemberg,2021-01-21,1124
Bayern,2021-01-21,1468
Berlin,2021-01-21,403
Brandenburg,2021-01-21,472
Bremen,2021-01-21,45
Hamburg,2021-01-21,101
Hessen,2021-01-21,768
Mecklenburg-Vorpommern,2021-01-21,160
Niedersachsen,2021-01-21,809
Nordrhein-Westfalen,2021-01-21,1526
Rheinland-Pfalz,2021-01-21,421
Saarland,2021-01-21,128
Sachsen,2021-01-21,550
Sachsen-Anhalt,2021-01-21,364
Schleswig-Holstein,2021-01-21,301
Thüringen,2021-01-21,465
Baden-Württemberg,2021-01-22,929
Bayern,2021-01-22,1416
Berlin,2021-01-22,395
Brandenburg,2021-01-22,427
Bremen,2021-01-22,22
Hamburg,2021-01-22,77
Hessen,2021-01-22,692
Mecklenburg-Vorpommern,2021-01-22,179
Niedersachsen,2021-01-22,725
Nordrhein-Westfalen,2021-01-22,1520
Rheinland-Pfalz,2021-01-22,459
Saarland,2021-01-22,108
Sachsen,2021-01-22,491
Sachsen-Anhalt,2021-01-22,345
Schleswig-Holstein,2021-01-22,287
