Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
China,7 (1 -- 26),Decreasing,0.49 (0.19 -- 1),-0.16 (-0.27 -- 0.0037),-4.5 (190 -- -2.6)
Colombia,2971 (1392 -- 5785),Likely decreasing,0.93 (0.61 -- 1.3),-0.019 (-0.11 -- 0.086),-37 (8.1 -- -6.1)
Comoros,0 (0 -- 5),Decreasing,0.46 (0.13 -- 0.98),-0.17 (-0.29 -- -0.0045),-4.2 (-150 -- -2.4)
Congo - Brazzaville,21 (0 -- 4901),Likely decreasing,0.54 (0.0046 -- 5.7),-0.14 (-0.37 -- 0.96),-5 (0.72 -- -1.9)
Congo - Kinshasa,219 (105 -- 540),Likely increasing,1.1 (0.88 -- 1.5),0.031 (-0.033 -- 0.12),22 (5.7 -- -21)
Costa Rica,322 (195 -- 558),Stable,0.98 (0.81 -- 1.2),-0.0042 (-0.055 -- 0.049),-160 (14 -- -13)
Croatia,774 (374 -- 1745),Likely increasing,1.2 (0.91 -- 1.5),0.049 (-0.026 -- 0.14),14 (4.9 -- -27)
Cuba,753 (495 -- 1178),Likely decreasing,0.97 (0.84 -- 1.1),-0.007 (-0.044 -- 0.038),-100 (18 -- -16)
Curaçao,7 (1 -- 50),Stable,1.1 (0.5 -- 2),0.018 (-0.15 -- 0.25),38 (2.7 -- -4.6)
Cyprus,698 (262 -- 1750),Likely increasing,1.3 (0.83 -- 1.9),0.088 (-0.048 -- 0.22),7.9 (3.1 -- -14)
Czechia,13527 (6974 -- 24776),Stable,1 (0.76 -- 1.3),0.0017 (-0.069 -- 0.075),400 (9.2 -- -10)
Côte d’Ivoire,177 (41 -- 996),Stable,1.1 (0.67 -- 1.8),0.016 (-0.096 -- 0.21),43 (3.3 -- -7.3)
Denmark,511 (270 -- 915),Likely decreasing,0.95 (0.69 -- 1.3),-0.013 (-0.091 -- 0.071),-55 (9.8 -- -7.6)
Djibouti,16 (5 -- 51),Likely increasing,1.2 (0.82 -- 1.6),0.049 (-0.052 -- 0.16),14 (4.4 -- -13)
Dominica,0 (0 -- 2),Stable,0.99 (0.64 -- 1.3),-0.0029 (-0.1 -- 0.07),-240 (9.9 -- -6.7)
Dominican Republic,368 (227 -- 652),Likely decreasing,0.89 (0.76 -- 1.1),-0.03 (-0.069 -- 0.026),-23 (27 -- -10)
Ecuador,1471 (632 -- 3246),Stable,1 (0.76 -- 1.3),0.0032 (-0.07 -- 0.071),220 (9.7 -- -9.9)
El Salvador,259 (138 -- 485),Likely decreasing,0.97 (0.84 -- 1.1),-0.0083 (-0.046 -- 0.034),-83 (20 -- -15)
Equatorial Guinea,52 (20 -- 218),Likely increasing,1.1 (0.94 -- 1.6),0.036 (-0.016 -- 0.16),19 (4.4 -- -43)
Eritrea,11 (1 -- 51),Likely decreasing,0.9 (0.56 -- 1.3),-0.028 (-0.13 -- 0.074),-25 (9.4 -- -5.4)
Estonia,2124 (1327 -- 3524),Increasing,1.2 (1 -- 1.3),0.044 (0.0021 -- 0.09),16 (7.7 -- 340)
Eswatini,19 (5 -- 67),Likely decreasing,0.91 (0.47 -- 1.5),-0.026 (-0.16 -- 0.12),-26 (5.6 -- -4.3)
Ethiopia,1347 (832 -- 2123),Likely increasing,1.1 (0.91 -- 1.2),0.02 (-0.024 -- 0.063),34 (11 -- -28)
Falkland Islands,0 (0 -- 0),Likely decreasing,0.63 (0.062 -- 1.2),-0.11 (-0.33 -- 0.044),-6.5 (16 -- -2.1)
Faroe Islands,0 (0 -- 0),Likely decreasing,0.49 (0.051 -- 1.7),-0.16 (-0.34 -- 0.18),-4.5 (3.8 -- -2.1)
Finland,1184 (709 -- 2033),Likely increasing,1.2 (0.97 -- 1.4),0.042 (-0.0091 -- 0.1),16 (6.8 -- -76)
France,21487 (10345 -- 41152),Stable,1 (0.73 -- 1.3),0.0014 (-0.078 -- 0.079),510 (8.8 -- -8.9)
French Guiana,7 (0 -- 141),Likely increasing,1.3 (0.55 -- 3.3),0.07 (-0.13 -- 0.52),9.8 (1.3 -- -5.2)
French Polynesia,4 (2 -- 19),Likely decreasing,0.87 (0.75 -- 1.4),-0.036 (-0.071 -- 0.094),-19 (7.3 -- -9.7)
Gabon,208 (27 -- 1361),Likely decreasing,0.85 (0.44 -- 1.4),-0.042 (-0.17 -- 0.098),-17 (7.1 -- -4.1)
Gambia,17 (1 -- 108),Likely decreasing,0.88 (0.36 -- 1.4),-0.033 (-0.2 -- 0.095),-21 (7.3 -- -3.4)
Georgia,228 (146 -- 398),Likely decreasing,0.92 (0.79 -- 1.1),-0.023 (-0.061 -- 0.035),-30 (20 -- -11)
Germany,8862 (5028 -- 14308),Stable,1 (0.77 -- 1.3),0.005 (-0.066 -- 0.072),140 (9.6 -- -10)
