Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Ukraine,10961 (7639 -- 15183),Likely increasing,1.1 (0.96 -- 1.3),0.034 (-0.01 -- 0.075),20 (9.3 -- -67)
United Arab Emirates,2456 (1732 -- 3466),Likely decreasing,0.94 (0.79 -- 1.1),-0.016 (-0.06 -- 0.032),-44 (22 -- -12)
United Kingdom,2618 (1541 -- 4326),Decreasing,0.71 (0.53 -- 0.92),-0.084 (-0.14 -- -0.022),-8.3 (-32 -- -5)
United States,55312 (31710 -- 91463),Stable,0.97 (0.72 -- 1.2),-0.0076 (-0.08 -- 0.059),-91 (12 -- -8.7)
Uruguay,926 (501 -- 1560),Likely increasing,1 (0.79 -- 1.3),0.013 (-0.06 -- 0.075),55 (9.2 -- -12)
Uzbekistan,59 (20 -- 173),Likely increasing,1.2 (0.66 -- 1.9),0.045 (-0.099 -- 0.23),15 (3.1 -- -7)
Venezuela,515 (292 -- 983),Likely increasing,1.1 (0.83 -- 1.4),0.015 (-0.049 -- 0.098),46 (7 -- -14)
Vietnam,3 (0 -- 76),Likely decreasing,0.76 (0.16 -- 2.7),-0.068 (-0.28 -- 0.4),-10 (1.7 -- -2.5)
Yemen,89 (27 -- 287),Increasing,1.5 (1 -- 2.1),0.13 (0.0056 -- 0.26),5.2 (2.6 -- 120)
Zambia,469 (170 -- 1336),Likely decreasing,0.92 (0.62 -- 1.3),-0.022 (-0.11 -- 0.088),-32 (7.9 -- -6.3)
Zimbabwe,9 (1 -- 45),Likely decreasing,0.61 (0.24 -- 1.3),-0.12 (-0.25 -- 0.075),-6 (9.3 -- -2.8)
