region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Senegal,2 (0 -- 8),2,3,4,0,1,1,2,3,8,New confirmed cases by infection date,Likely decreasing,0.89
Malta,1.8 (0.74 -- 3.9),1.8,2,1,0.74,1.3,1.5,2,2.4,3.9,Effective reproduction no.,Likely increasing,0.14
Congo - Brazzaville,1.6 (0.9 -- 3.2),1.6,1.8,0.79,0.9,1.3,1.5,1.8,2.1,3.2,Effective reproduction no.,Likely increasing,0.072
St. Kitts & Nevis,1.5 (0.84 -- 3.1),1.5,1.7,0.79,0.84,1.2,1.3,1.6,1.9,3.1,Effective reproduction no.,Likely increasing,0.13
Belize,1.4 (1.1 -- 2.2),1.4,1.5,0.37,1.1,1.3,1.3,1.5,1.7,2.2,Effective reproduction no.,Increasing,0.0085
Papua New Guinea,1.4 (0.99 -- 2),1.4,1.4,0.34,0.99,1.2,1.3,1.4,1.6,2,Effective reproduction no.,Likely increasing,0.054
Sudan,1.4 (1 -- 2.8),1.4,1.6,0.57,1,1.3,1.4,1.5,1.7,2.8,Effective reproduction no.,Increasing,0.029
Djibouti,1.3 (0.94 -- 1.6),1.3,1.3,0.21,0.94,1.2,1.2,1.3,1.4,1.6,Effective reproduction no.,Likely increasing,0.082
Gabon,1.3 (0.5 -- 1.9),1.3,1.2,0.42,0.5,1,1.2,1.3,1.5,1.9,Effective reproduction no.,Likely increasing,0.23
New Zealand,1.3 (0.48 -- 2.9),1.3,1.4,0.76,0.48,0.89,1.1,1.4,1.8,2.9,Effective reproduction no.,Likely increasing,0.32
Andorra,1.2 (0.74 -- 1.9),1.2,1.3,0.4,0.74,1,1.1,1.3,1.4,1.9,Effective reproduction no.,Likely increasing,0.24
Cayman Islands,1.2 (0.97 -- 1.7),1.2,1.3,0.26,0.97,1.1,1.2,1.3,1.4,1.7,Effective reproduction no.,Likely increasing,0.066
Croatia,1.2 (1.1 -- 1.9),1.2,1.3,0.32,1.1,1.1,1.2,1.3,1.5,1.9,Effective reproduction no.,Increasing,0.0058
Czechia,1.2 (0.83 -- 1.7),1.2,1.2,0.27,0.83,1.1,1.2,1.3,1.4,1.7,Effective reproduction no.,Likely increasing,0.19
Dominican Republic,1.2 (1 -- 1.5),1.2,1.2,0.14,1,1.1,1.1,1.2,1.3,1.5,Effective reproduction no.,Increasing,0.035
Estonia,1.2 (0.95 -- 1.4),1.2,1.2,0.14,0.95,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.093
Gibraltar,1.2 (0.71 -- 1.9),1.2,1.2,0.38,0.71,0.97,1.1,1.2,1.4,1.9,Effective reproduction no.,Likely increasing,0.29
Greece,1.2 (0.81 -- 1.8),1.2,1.3,0.33,0.81,1,1.1,1.3,1.4,1.8,Effective reproduction no.,Likely increasing,0.21
Latvia,1.2 (1 -- 1.5),1.2,1.2,0.15,1,1.1,1.2,1.3,1.3,1.5,Effective reproduction no.,Increasing,0.042
Poland,1.2 (1 -- 1.5),1.2,1.2,0.13,1,1.2,1.2,1.3,1.3,1.5,Effective reproduction no.,Increasing,0.02
Romania,1.2 (1 -- 1.3),1.2,1.2,0.1,1,1.1,1.1,1.2,1.2,1.3,Effective reproduction no.,Increasing,0.048
Ukraine,1.2 (1 -- 1.4),1.2,1.2,0.097,1,1.1,1.2,1.2,1.3,1.4,Effective reproduction no.,Increasing,0.02
Angola,1.1 (1 -- 1.4),1.1,1.1,0.12,1,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Increasing,0.046
Armenia,1.1 (1 -- 1.3),1.1,1.1,0.07,1,1.1,1.1,1.1,1.2,1.3,Effective reproduction no.,Increasing,0.019
Australia,1.1 (0.98 -- 1.4),1.1,1.2,0.12,0.98,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.079
Barbados,1.1 (0.73 -- 1.6),1.1,1.1,0.28,0.73,0.98,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing,0.28
Bulgaria,1.1 (0.89 -- 1.3),1.1,1.1,0.14,0.89,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.22
Burkina Faso,1.1 (0.95 -- 1.3),1.1,1.1,0.1,0.95,1.1,1.1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.098
Chad,1.1 (0.88 -- 1.2),1.1,1.1,0.11,0.88,1,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.21
Chile,1.1 (0.86 -- 1.2),1.1,1,0.1,0.86,0.98,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.31
Comoros,1.1 (0.73 -- 1.7),1.1,1.2,0.38,0.73,0.98,1,1.1,1.3,1.7,Effective reproduction no.,Likely increasing,0.29
