region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Uzbekistan,0.83 (0.68 -- 0.97),0.83,0.83,0.088,0.68,0.77,0.81,0.85,0.88,0.97,Effective reproduction no.,Decreasing,0.97
Zambia,0.83 (0.73 -- 0.9),0.83,0.82,0.054,0.73,0.8,0.82,0.83,0.84,0.9,Effective reproduction no.,Decreasing,0.99
France,0.82 (0.52 -- 1.2),0.82,0.83,0.21,0.52,0.69,0.77,0.87,0.96,1.2,Effective reproduction no.,Likely decreasing,0.81
Malaysia,0.81 (0.72 -- 0.9),0.81,0.81,0.058,0.72,0.77,0.79,0.82,0.84,0.9,Effective reproduction no.,Decreasing,1
Togo,0.81 (0.53 -- 1.1),0.81,0.81,0.18,0.53,0.7,0.77,0.85,0.92,1.1,Effective reproduction no.,Likely decreasing,0.87
Argentina,0.8 (0.66 -- 0.94),0.8,0.8,0.089,0.66,0.75,0.78,0.82,0.85,0.94,Effective reproduction no.,Decreasing,0.98
Austria,0.8 (0.49 -- 1.2),0.8,0.81,0.21,0.49,0.67,0.75,0.86,0.94,1.2,Effective reproduction no.,Likely decreasing,0.82
China,0.8 (0.4 -- 1.6),0.8,0.86,0.37,0.4,0.62,0.73,0.88,1,1.6,Effective reproduction no.,Likely decreasing,0.73
Curaçao,0.8 (0.27 -- 2.3),0.8,0.98,0.74,0.27,0.54,0.7,0.93,1.2,2.3,Effective reproduction no.,Likely decreasing,0.65
Côte d’Ivoire,0.8 (0.49 -- 1.1),0.8,0.8,0.19,0.49,0.69,0.76,0.85,0.91,1.1,Effective reproduction no.,Likely decreasing,0.89
El Salvador,0.8 (0.38 -- 1.2),0.8,0.79,0.25,0.38,0.64,0.75,0.86,0.94,1.2,Effective reproduction no.,Likely decreasing,0.85
Indonesia,0.8 (0.65 -- 0.94),0.8,0.8,0.09,0.65,0.74,0.78,0.82,0.85,0.94,Effective reproduction no.,Decreasing,0.99
Jamaica,0.8 (0.57 -- 1.1),0.8,0.82,0.17,0.57,0.7,0.76,0.84,0.91,1.1,Effective reproduction no.,Likely decreasing,0.88
Maldives,0.8 (0.59 -- 0.96),0.8,0.79,0.11,0.59,0.73,0.78,0.83,0.87,0.96,Effective reproduction no.,Decreasing,0.98
Monaco,0.8 (0.44 -- 1.5),0.8,0.86,0.35,0.44,0.65,0.74,0.86,1,1.5,Effective reproduction no.,Likely decreasing,0.75
Puerto Rico,0.8 (0.55 -- 1.1),0.8,0.81,0.18,0.55,0.7,0.76,0.84,0.91,1.1,Effective reproduction no.,Likely decreasing,0.86
St. Lucia,0.8 (0.42 -- 1.3),0.8,0.82,0.27,0.42,0.65,0.74,0.86,0.96,1.3,Effective reproduction no.,Likely decreasing,0.78
Uruguay,0.8 (0.59 -- 1),0.8,0.8,0.13,0.59,0.71,0.76,0.82,0.88,1,Effective reproduction no.,Likely decreasing,0.94
Albania,0.79 (0.55 -- 1.1),0.79,0.81,0.18,0.55,0.68,0.75,0.84,0.91,1.1,Effective reproduction no.,Likely decreasing,0.87
Belgium,0.79 (0.48 -- 1),0.79,0.77,0.16,0.48,0.67,0.75,0.84,0.89,1,Effective reproduction no.,Decreasing,0.95
Cape Verde,0.79 (0.46 -- 1.1),0.79,0.78,0.19,0.46,0.66,0.75,0.84,0.91,1.1,Effective reproduction no.,Likely decreasing,0.89
Philippines,0.79 (0.68 -- 0.89),0.79,0.79,0.065,0.68,0.75,0.78,0.81,0.83,0.89,Effective reproduction no.,Decreasing,1
Oman,0.78 (0.49 -- 0.87),0.78,0.74,0.13,0.49,0.69,0.76,0.8,0.82,0.87,Effective reproduction no.,Decreasing,1
Faroe Islands,0.77 (0.2 -- 2.1),0.77,0.9,0.62,0.2,0.48,0.65,0.9,1.2,2.1,Effective reproduction no.,Likely decreasing,0.67
Ghana,0.77 (0.38 -- 1.1),0.77,0.76,0.22,0.38,0.62,0.72,0.82,0.9,1.1,Effective reproduction no.,Likely decreasing,0.89
Sweden,0.77 (0.41 -- 1.1),0.77,0.76,0.22,0.41,0.63,0.71,0.81,0.89,1.1,Effective reproduction no.,Likely decreasing,0.89
Dominica,0.76 (0.17 -- 1.8),0.76,0.85,0.63,0.17,0.51,0.67,0.86,1,1.8,Effective reproduction no.,Likely decreasing,0.73
Azerbaijan,0.75 (0.53 -- 1.1),0.75,0.77,0.16,0.53,0.66,0.72,0.79,0.86,1.1,Effective reproduction no.,Likely decreasing,0.92
Guinea,0.75 (0.43 -- 1.2),0.75,0.78,0.24,0.43,0.64,0.71,0.8,0.89,1.2,Effective reproduction no.,Likely decreasing,0.87
Malawi,0.75 (0.48 -- 1.1),0.75,0.76,0.19,0.48,0.64,0.7,0.79,0.86,1.1,Effective reproduction no.,Likely decreasing,0.91
Afghanistan,0.73 (0.38 -- 1.1),0.73,0.74,0.24,0.38,0.58,0.68,0.79,0.88,1.1,Effective reproduction no.,Likely decreasing,0.89
Seychelles,0.73 (0.43 -- 0.95),0.73,0.72,0.17,0.43,0.61,0.68,0.77,0.84,0.95,Effective reproduction no.,Decreasing,0.98
South Africa,0.72 (0.5 -- 0.99),0.72,0.73,0.16,0.5,0.64,0.69,0.75,0.8,0.99,Effective reproduction no.,Decreasing,0.96
Saint Martin (French part),0.71 (0.23 -- 1.3),0.71,0.74,0.43,0.23,0.51,0.64,0.78,0.89,1.3,Effective reproduction no.,Likely decreasing,0.85
Timor-Leste,0.71 (0.44 -- 1.1),0.71,0.74,0.22,0.44,0.59,0.67,0.76,0.85,1.1,Effective reproduction no.,Likely decreasing,0.89
Bangladesh,0.7 (0.43 -- 1.1),0.7,0.71,0.2,0.43,0.58,0.66,0.74,0.82,1.1,Effective reproduction no.,Likely decreasing,0.93
Fiji,0.7 (0.47 -- 0.9),0.7,0.7,0.13,0.47,0.62,0.67,0.73,0.78,0.9,Effective reproduction no.,Decreasing,0.99
Vietnam,0.7 (0.45 -- 0.98),0.7,0.71,0.16,0.45,0.6,0.66,0.74,0.81,0.98,Effective reproduction no.,Decreasing,0.96
Israel,0.69 (0.49 -- 0.95),0.69,0.7,0.14,0.49,0.6,0.66,0.72,0.78,0.95,Effective reproduction no.,Decreasing,0.97
Morocco,0.69 (0.43 -- 0.98),0.69,0.69,0.17,0.43,0.58,0.65,0.72,0.79,0.98,Effective reproduction no.,Decreasing,0.96
Brunei,0.67 (0.16 -- 2.1),0.67,0.86,0.75,0.16,0.4,0.56,0.8,1.1,2.1,Effective reproduction no.,Likely decreasing,0.71
Japan,0.67 (0.43 -- 0.95),0.67,0.68,0.16,0.43,0.57,0.63,0.71,0.77,0.95,Effective reproduction no.,Decreasing,0.97
Sri Lanka,0.67 (0.47 -- 0.91),0.67,0.67,0.13,0.47,0.58,0.63,0.7,0.75,0.91,Effective reproduction no.,Decreasing,0.98
Greenland,0.65 (0.13 -- 1.2),0.65,0.67,0.35,0.13,0.4,0.55,0.75,0.89,1.2,Effective reproduction no.,Likely decreasing,0.84
Senegal,0.65 (0.33 -- 1.2),0.65,0.69,0.29,0.33,0.5,0.6,0.71,0.83,1.2,Effective reproduction no.,Likely decreasing,0.89
Suriname,0.64 (0.43 -- 0.87),0.64,0.64,0.14,0.43,0.55,0.61,0.68,0.73,0.87,Effective reproduction no.,Decreasing,0.99
Mozambique,0.63 (0.38 -- 0.96),0.63,0.65,0.19,0.38,0.53,0.6,0.67,0.74,0.96,Effective reproduction no.,Decreasing,0.96
United Arab Emirates,0.63 (0.31 -- 0.93),0.63,0.63,0.19,0.31,0.5,0.58,0.68,0.76,0.93,Effective reproduction no.,Decreasing,0.98
Guam,0.62 (0.24 -- 1.1),0.62,0.64,0.28,0.24,0.46,0.56,0.69,0.8,1.1,Effective reproduction no.,Likely decreasing,0.91
South Korea,0.61 (0.38 -- 0.84),0.61,0.61,0.14,0.38,0.51,0.58,0.65,0.71,0.84,Effective reproduction no.,Decreasing,1
Martinique,0.6 (0.16 -- 1.4),0.6,0.68,0.43,0.16,0.39,0.52,0.69,0.86,1.4,Effective reproduction no.,Likely decreasing,0.83
Isle of Man,0.56 (0.11 -- 2),0.56,0.75,0.71,0.11,0.3,0.45,0.68,0.95,2,Effective reproduction no.,Likely decreasing,0.77
Liechtenstein,0.54 (0.15 -- 1),0.54,0.55,0.29,0.15,0.37,0.47,0.59,0.68,1,Effective reproduction no.,Decreasing,0.95
Guinea-Bissau,0.53 (0.23 -- 0.95),0.53,0.56,0.24,0.23,0.41,0.49,0.58,0.67,0.95,Effective reproduction no.,Decreasing,0.96
Guadeloupe,0.51 (0.029 -- 2.7),0.51,0.81,0.97,0.029,0.21,0.37,0.67,1,2.7,Effective reproduction no.,Likely decreasing,0.74
French Polynesia,0.48 (0.074 -- 1.8),0.48,0.65,0.65,0.074,0.26,0.39,0.59,0.83,1.8,Effective reproduction no.,Likely decreasing,0.82
Gambia,0.48 (0.11 -- 1.1),0.48,0.53,0.33,0.11,0.31,0.41,0.56,0.68,1.1,Effective reproduction no.,Likely decreasing,0.93
Jersey,0.46 (0.064 -- 1.3),0.46,0.56,0.47,0.064,0.25,0.37,0.56,0.74,1.3,Effective reproduction no.,Likely decreasing,0.88
Benin,0.45 (0.045 -- 1.3),0.45,0.54,0.5,0.045,0.24,0.37,0.54,0.7,1.3,Effective reproduction no.,Likely decreasing,0.9
Tunisia,0.44 (0.18 -- 0.82),0.44,0.46,0.21,0.18,0.32,0.39,0.49,0.58,0.82,Effective reproduction no.,Decreasing,0.99
Grenada,0.39 (0.083 -- 1),0.39,0.45,0.34,0.083,0.23,0.33,0.46,0.59,1,Effective reproduction no.,Likely decreasing,0.94
Norway,0.36 (0.16 -- 0.62),0.36,0.37,0.14,0.16,0.27,0.32,0.39,0.46,0.62,Effective reproduction no.,Decreasing,1
Uganda,0.36 (0.0047 -- 1.2),0.36,0.47,0.46,0.0047,0.075,0.22,0.52,0.79,1.2,Effective reproduction no.,Likely decreasing,0.86
Liberia,0.34 (0.038 -- 1),0.34,0.42,0.38,0.038,0.17,0.27,0.42,0.57,1,Effective reproduction no.,Decreasing,0.95
Central African Republic,0.23 (0.0026 -- 3.1),0.23,0.68,1.2,0.0026,0.051,0.13,0.36,0.74,3.1,Effective reproduction no.,Likely decreasing,0.8
British Virgin Islands,0.21 (0.0017 -- 1.5),0.21,0.42,0.66,0.0017,0.05,0.13,0.32,0.54,1.5,Effective reproduction no.,Likely decreasing,0.9
New Caledonia,0.21 (0.0068 -- 2),0.21,0.51,0.92,0.0068,0.063,0.14,0.31,0.52,2,Effective reproduction no.,Likely decreasing,0.87
Cambodia,0.2 (0.026 -- 0.5),0.2,0.22,0.15,0.026,0.094,0.15,0.24,0.33,0.5,Effective reproduction no.,Decreasing,1
Tajikistan,0.036 (0.00077 -- 0.44),0.036,0.12,0.36,0.00077,0.0098,0.023,0.057,0.11,0.44,Effective reproduction no.,Decreasing,0.98
British Virgin Islands,0 (0 -- 1),0,0,4,0,0,0,0,0,1,New confirmed cases by infection date,Likely decreasing,0.9
Central African Republic,0 (0 -- 44),0,27,284,0,0,0,0,1,44,New confirmed cases by infection date,Likely decreasing,0.8
French Polynesia,0 (0 -- 40),0,32,422,0,0,0,1,3,40,New confirmed cases by infection date,Likely decreasing,0.82
Gambia,0 (0 -- 2),0,0,3,0,0,0,0,0,2,New confirmed cases by infection date,Likely decreasing,0.93
Guinea-Bissau,0 (0 -- 1),0,0,1,0,0,0,0,0,1,New confirmed cases by infection date,Decreasing,0.96
Liberia,0 (0 -- 1),0,0,3,0,0,0,0,0,1,New confirmed cases by infection date,Decreasing,0.95
Liechtenstein,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Decreasing,0.95
Monaco,0 (0 -- 3),0,1,2,0,0,0,0,1,3,New confirmed cases by infection date,Likely decreasing,0.75
Northern Mariana Islands,0 (0 -- 2),0,0,2,0,0,0,0,0,2,New confirmed cases by infection date,Likely decreasing,0.76
Saint Martin (French part),0 (0 -- 9),0,6,190,0,0,0,1,2,9,New confirmed cases by infection date,Likely decreasing,0.85
Sierra Leone,0 (0 -- 1),0,0,1,0,0,0,0,0,1,New confirmed cases by infection date,Likely decreasing,0.73
Tajikistan,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Decreasing,0.98
