region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Veneto,3421 (1999 -- 5824),3421,3596,1173,1999,2767,3173,3721,4236,5824,New confirmed cases by infection date,Likely increasing,0.21
Valle d'Aosta,51 (19 -- 143),51,62,41,19,34,44,59,77,143,New confirmed cases by infection date,Likely decreasing,0.6
Molise,10 (3 -- 32),10,13,10,3,6,8,12,16,32,New confirmed cases by infection date,Likely decreasing,0.81
Veneto,1.1 (0.89 -- 1.4),1.1,1.1,0.15,0.89,1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.21
Valle d'Aosta,0.95 (0.65 -- 1.3),0.95,0.97,0.21,0.65,0.82,0.9,1,1.1,1.3,Effective reproduction no.,Likely decreasing,0.6
Molise,0.83 (0.53 -- 1.2),0.83,0.84,0.2,0.53,0.7,0.78,0.88,0.96,1.2,Effective reproduction no.,Likely decreasing,0.81
