Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Molise,10 (3 -- 32),Likely decreasing,0.83 (0.53 -- 1.2),-0.049 (-0.14 -- 0.054),-14 (13 -- -4.9)
Valle d'Aosta,51 (19 -- 143),Likely decreasing,0.95 (0.65 -- 1.3),-0.014 (-0.1 -- 0.089),-50 (7.8 -- -6.8)
Veneto,3421 (1999 -- 5824),Likely increasing,1.1 (0.89 -- 1.4),0.032 (-0.032 -- 0.1),21 (6.9 -- -22)
