region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Lesotho,0 (0 -- 1),0,0,9,0,0,0,0,0,1,New confirmed cases by infection date,Stable,0.58
Liberia,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.91
Liechtenstein,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.84
Madagascar,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Stable,0.52
Malawi,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Likely increasing,0.31
Maldives,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Stable,0.54
Malta,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Likely increasing,0.25
Mayotte,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.87
Monaco,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.68
Morocco,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Decreasing,0.97
Mozambique,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.62
New Caledonia,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.87
New Zealand,0 (0 -- 2),0,0,1,0,0,0,0,1,2,New confirmed cases by infection date,Stable,0.42
Nicaragua,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Stable,0.51
Nigeria,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Decreasing,0.97
Oman,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Decreasing,0.95
Puerto Rico,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Likely decreasing,0.78
Qatar,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.85
