region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Greece,1 (0.86 -- 1.1),1,1,0.086,0.86,0.94,0.98,1,1.1,1.1,Effective reproduction no.,Stable,0.51
Guyana,1 (0 -- 3),1,1,0,0,1,1,1,2,3,New confirmed cases by infection date,Likely decreasing,0.83
Haiti,1 (0 -- 5),1,2,1,0,1,1,2,2,5,New confirmed cases by infection date,Stable,0.52
Honduras,1 (0 -- 2),1,1,0,0,1,1,1,1,2,New confirmed cases by infection date,Decreasing,1
Iceland,1 (0.47 -- 1.9),1,1.1,0.46,0.47,0.78,0.93,1.1,1.3,1.9,Effective reproduction no.,Stable,0.48
Ireland,1 (0.74 -- 1.5),1,1.1,0.23,0.74,0.91,0.99,1.1,1.2,1.5,Effective reproduction no.,Stable,0.43
Israel,1 (0 -- 2),1,1,0,0,0,0,1,1,2,New confirmed cases by infection date,Likely decreasing,0.89
Jordan,1 (0.87 -- 1.1),1,1,0.082,0.87,0.95,0.98,1,1.1,1.1,Effective reproduction no.,Stable,0.49
Kyrgyzstan,1 (0.67 -- 1.5),1,1,0.26,0.67,0.85,0.95,1.1,1.2,1.5,Effective reproduction no.,Stable,0.48
Mali,1 (0 -- 4),1,2,1,0,1,1,2,2,4,New confirmed cases by infection date,Stable,0.4
Mali,1 (0.82 -- 1.3),1,1,0.15,0.82,0.95,1,1.1,1.1,1.3,Effective reproduction no.,Stable,0.4
Nepal,1 (0 -- 4),1,2,1,0,1,1,2,2,4,New confirmed cases by infection date,Likely decreasing,0.73
Nicaragua,1 (0.85 -- 1.2),1,1,0.094,0.85,0.94,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.51
North Macedonia,1 (0.84 -- 1.3),1,1,0.13,0.84,0.94,1,1.1,1.1,1.3,Effective reproduction no.,Stable,0.41
Panama,1 (0 -- 2),1,1,0,0,0,1,1,1,2,New confirmed cases by infection date,Likely decreasing,0.66
Saudi Arabia,1 (0 -- 2),1,1,0,0,0,0,1,1,2,New confirmed cases by infection date,Likely decreasing,0.73
Suriname,1 (0 -- 2),1,1,0,0,0,0,1,1,2,New confirmed cases by infection date,Likely decreasing,0.82
Tunisia,1 (0 -- 3),1,2,0,0,1,1,2,2,3,New confirmed cases by infection date,Likely decreasing,0.91
United States,1 (0.9 -- 1.2),1,1.1,0.1,0.9,0.98,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.31
Uruguay,1 (0 -- 3),1,1,0,0,1,1,2,2,3,New confirmed cases by infection date,Stable,0.52
Uzbekistan,1 (0.9 -- 1.2),1,1.1,0.099,0.9,0.98,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.3
Belarus,0.99 (0.96 -- 1),0.99,0.99,0.022,0.96,0.98,0.99,1,1,1,Effective reproduction no.,Likely decreasing,0.67
Georgia,0.99 (0.87 -- 1.1),0.99,0.99,0.083,0.87,0.94,0.97,1,1,1.1,Effective reproduction no.,Stable,0.57
Guinea-Bissau,0.99 (0.72 -- 1.4),0.99,1,0.2,0.72,0.88,0.95,1,1.1,1.4,Effective reproduction no.,Stable,0.51
Haiti,0.99 (0.79 -- 1.2),0.99,1,0.14,0.79,0.91,0.96,1,1.1,1.2,Effective reproduction no.,Stable,0.52
Madagascar,0.99 (0.78 -- 1.2),0.99,1,0.14,0.78,0.91,0.96,1,1.1,1.2,Effective reproduction no.,Stable,0.52
Seychelles,0.99 (0.87 -- 1.2),0.99,1,0.1,0.87,0.95,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.54
Turks & Caicos Islands,0.99 (0.78 -- 1.2),0.99,1,0.14,0.78,0.94,0.98,1,1,1.2,Effective reproduction no.,Stable,0.55
Uruguay,0.99 (0.8 -- 1.2),0.99,1,0.12,0.8,0.92,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.52
Congo - Kinshasa,0.98 (0.76 -- 1.3),0.98,0.99,0.16,0.76,0.88,0.94,1,1.1,1.3,Effective reproduction no.,Stable,0.55
Maldives,0.98 (0.68 -- 1.4),0.98,1,0.23,0.68,0.84,0.92,1,1.1,1.4,Effective reproduction no.,Stable,0.54
Pakistan,0.98 (0.83 -- 1.2),0.98,0.99,0.1,0.83,0.92,0.96,1,1.1,1.2,Effective reproduction no.,Stable,0.57
Congo - Brazzaville,0.97 (0.72 -- 1.1),0.97,0.95,0.13,0.72,0.87,0.93,1,1,1.1,Effective reproduction no.,Likely decreasing,0.6
Kosovo,0.97 (0.56 -- 1.6),0.97,1,0.33,0.56,0.78,0.89,1,1.2,1.6,Effective reproduction no.,Stable,0.54
Sudan,0.97 (0.62 -- 1.5),0.97,1,0.28,0.62,0.82,0.91,1,1.2,1.5,Effective reproduction no.,Stable,0.54
Eritrea,0.96 (0.43 -- 1.5),0.96,0.96,0.34,0.43,0.73,0.88,1,1.2,1.5,Effective reproduction no.,Stable,0.55
Montenegro,0.96 (0.82 -- 1.1),0.96,0.96,0.091,0.82,0.9,0.94,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.69
Panama,0.96 (0.82 -- 1.1),0.96,0.97,0.093,0.82,0.9,0.94,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.66
Réunion,0.96 (0.87 -- 1.1),0.96,0.96,0.056,0.87,0.93,0.95,0.97,0.99,1.1,Effective reproduction no.,Likely decreasing,0.81
Saudi Arabia,0.96 (0.85 -- 1.1),0.96,0.96,0.074,0.85,0.91,0.94,0.97,1,1.1,Effective reproduction no.,Likely decreasing,0.73
Venezuela,0.96 (0.87 -- 1.1),0.96,0.97,0.06,0.87,0.93,0.95,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.74
Canada,0.95 (0.8 -- 1.1),0.95,0.96,0.1,0.8,0.88,0.92,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.68
Lebanon,0.95 (0.77 -- 1.1),0.95,0.95,0.12,0.77,0.88,0.92,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.66
Mozambique,0.95 (0.68 -- 1.3),0.95,0.96,0.19,0.68,0.83,0.9,0.99,1.1,1.3,Effective reproduction no.,Likely decreasing,0.62
Palestinian Territories,0.95 (0.75 -- 1.2),0.95,0.96,0.14,0.75,0.86,0.92,0.98,1,1.2,Effective reproduction no.,Likely decreasing,0.64
United Kingdom,0.95 (0.8 -- 1.1),0.95,0.96,0.11,0.8,0.89,0.93,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.66
Guyana,0.94 (0.84 -- 1.1),0.94,0.94,0.066,0.84,0.9,0.92,0.95,0.98,1.1,Effective reproduction no.,Likely decreasing,0.83
Kazakhstan,0.94 (0.61 -- 1.4),0.94,0.98,0.26,0.61,0.79,0.88,1,1.1,1.4,Effective reproduction no.,Stable,0.59
U.S. Virgin Islands,0.94 (0.79 -- 1.1),0.94,0.95,0.11,0.79,0.88,0.92,0.96,1,1.1,Effective reproduction no.,Likely decreasing,0.73
Central African Republic,0.93 (0.45 -- 1.6),0.93,0.97,0.38,0.45,0.73,0.85,1,1.2,1.6,Effective reproduction no.,Stable,0.58
Lithuania,0.93 (0.82 -- 1.1),0.93,0.93,0.071,0.82,0.88,0.91,0.95,0.98,1.1,Effective reproduction no.,Likely decreasing,0.83
San Marino,0.93 (0.53 -- 1.5),0.93,0.95,0.3,0.53,0.75,0.86,0.99,1.1,1.5,Effective reproduction no.,Likely decreasing,0.61
Albania,0.92 (0.74 -- 1.1),0.92,0.92,0.12,0.74,0.84,0.89,0.95,0.99,1.1,Effective reproduction no.,Likely decreasing,0.77
Antigua & Barbuda,0.92 (0.57 -- 1.4),0.92,0.96,0.27,0.57,0.77,0.87,0.99,1.1,1.4,Effective reproduction no.,Likely decreasing,0.62
Australia,0.92 (0.7 -- 1.2),0.92,0.93,0.15,0.7,0.83,0.89,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.71
Barbados,0.92 (0.69 -- 1.2),0.92,0.94,0.17,0.69,0.82,0.88,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.7
Belize,0.92 (0.76 -- 1.1),0.92,0.93,0.1,0.76,0.86,0.9,0.95,0.99,1.1,Effective reproduction no.,Likely decreasing,0.78
Libya,0.92 (0.78 -- 1.1),0.92,0.92,0.092,0.78,0.86,0.89,0.94,0.98,1.1,Effective reproduction no.,Likely decreasing,0.82
Monaco,0.92 (0.63 -- 1.2),0.92,0.93,0.18,0.63,0.81,0.89,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.68
Papua New Guinea,0.92 (0.65 -- 1.2),0.92,0.92,0.17,0.65,0.81,0.88,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.69
Senegal,0.92 (0.71 -- 1.2),0.92,0.93,0.15,0.71,0.83,0.88,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.7
Aruba,0.91 (0.61 -- 1.4),0.91,0.93,0.23,0.61,0.77,0.85,0.96,1.1,1.4,Effective reproduction no.,Likely decreasing,0.66
Indonesia,0.91 (0.78 -- 1.1),0.91,0.92,0.087,0.78,0.86,0.89,0.93,0.97,1.1,Effective reproduction no.,Likely decreasing,0.83
Jamaica,0.91 (0.77 -- 1.1),0.91,0.92,0.1,0.77,0.85,0.89,0.94,0.98,1.1,Effective reproduction no.,Likely decreasing,0.8
Philippines,0.91 (0.72 -- 1.1),0.91,0.92,0.13,0.72,0.84,0.89,0.95,1,1.1,Effective reproduction no.,Likely decreasing,0.75
Dominican Republic,0.9 (0.68 -- 1.2),0.9,0.91,0.15,0.68,0.8,0.86,0.93,1,1.2,Effective reproduction no.,Likely decreasing,0.76
Lesotho,0.9 (0.35 -- 2.1),0.9,1,0.6,0.35,0.62,0.78,1,1.3,2.1,Effective reproduction no.,Stable,0.58
Singapore,0.9 (0.77 -- 1.1),0.9,0.91,0.099,0.77,0.85,0.88,0.93,0.97,1.1,Effective reproduction no.,Likely decreasing,0.84
Syria,0.9 (0.7 -- 1.1),0.9,0.91,0.13,0.7,0.82,0.87,0.93,0.98,1.1,Effective reproduction no.,Likely decreasing,0.79
Botswana,0.89 (0.65 -- 1.2),0.89,0.9,0.18,0.65,0.78,0.85,0.93,1,1.2,Effective reproduction no.,Likely decreasing,0.75
Bulgaria,0.89 (0.76 -- 1),0.89,0.89,0.082,0.76,0.84,0.87,0.91,0.95,1,Effective reproduction no.,Likely decreasing,0.9
Dominica,0.89 (0.51 -- 1.4),0.89,0.91,0.29,0.51,0.75,0.84,0.94,1,1.4,Effective reproduction no.,Likely decreasing,0.72
Nepal,0.89 (0.66 -- 1.2),0.89,0.91,0.16,0.66,0.8,0.85,0.94,1,1.2,Effective reproduction no.,Likely decreasing,0.73
Ukraine,0.89 (0.8 -- 1),0.89,0.89,0.06,0.8,0.85,0.88,0.91,0.93,1,Effective reproduction no.,Decreasing,0.96
French Guiana,0.88 (0.74 -- 1),0.88,0.88,0.092,0.74,0.82,0.86,0.9,0.94,1,Effective reproduction no.,Likely decreasing,0.91
Gabon,0.88 (0.68 -- 1.1),0.88,0.88,0.12,0.68,0.79,0.85,0.91,0.96,1.1,Effective reproduction no.,Likely decreasing,0.85
Suriname,0.88 (0.68 -- 1.1),0.88,0.88,0.13,0.68,0.79,0.84,0.91,0.97,1.1,Effective reproduction no.,Likely decreasing,0.82
Latvia,0.87 (0.74 -- 1),0.87,0.87,0.082,0.74,0.82,0.85,0.89,0.92,1,Effective reproduction no.,Likely decreasing,0.93
United Arab Emirates,0.87 (0.68 -- 1.1),0.87,0.88,0.13,0.68,0.79,0.84,0.9,0.96,1.1,Effective reproduction no.,Likely decreasing,0.84
Puerto Rico,0.86 (0.62 -- 1.2),0.86,0.87,0.17,0.62,0.75,0.82,0.9,0.98,1.2,Effective reproduction no.,Likely decreasing,0.78
Tunisia,0.86 (0.71 -- 1),0.86,0.87,0.099,0.71,0.8,0.84,0.89,0.93,1,Effective reproduction no.,Likely decreasing,0.91
Bahrain,0.85 (0.52 -- 1.3),0.85,0.87,0.24,0.52,0.71,0.79,0.91,1,1.3,Effective reproduction no.,Likely decreasing,0.73
Cameroon,0.85 (0.66 -- 1.1),0.85,0.86,0.13,0.66,0.77,0.82,0.88,0.93,1.1,Effective reproduction no.,Likely decreasing,0.87
Guam,0.85 (0.64 -- 1.1),0.85,0.86,0.14,0.64,0.76,0.82,0.88,0.94,1.1,Effective reproduction no.,Likely decreasing,0.85
Kuwait,0.85 (0.58 -- 1.2),0.85,0.86,0.19,0.58,0.73,0.8,0.89,0.98,1.2,Effective reproduction no.,Likely decreasing,0.79
Afghanistan,0.84 (0.65 -- 1.1),0.84,0.85,0.12,0.65,0.77,0.81,0.87,0.92,1.1,Effective reproduction no.,Likely decreasing,0.89
Armenia,0.84 (0.72 -- 0.97),0.84,0.84,0.077,0.72,0.79,0.82,0.86,0.89,0.97,Effective reproduction no.,Decreasing,0.98
Gambia,0.84 (0.5 -- 1.3),0.84,0.87,0.25,0.5,0.69,0.78,0.89,1,1.3,Effective reproduction no.,Likely decreasing,0.74
Isle of Man,0.84 (0.32 -- 1.6),0.84,0.89,0.44,0.32,0.6,0.74,0.93,1.1,1.6,Effective reproduction no.,Likely decreasing,0.67
Israel,0.84 (0.64 -- 1.1),0.84,0.85,0.13,0.64,0.76,0.81,0.87,0.93,1.1,Effective reproduction no.,Likely decreasing,0.89
Costa Rica,0.83 (0.7 -- 0.98),0.83,0.83,0.083,0.7,0.77,0.8,0.85,0.88,0.98,Effective reproduction no.,Decreasing,0.97
Honduras,0.83 (0.73 -- 0.93),0.83,0.83,0.06,0.73,0.79,0.81,0.84,0.87,0.93,Effective reproduction no.,Decreasing,1
Rwanda,0.83 (0.63 -- 1.1),0.83,0.84,0.14,0.63,0.75,0.8,0.87,0.92,1.1,Effective reproduction no.,Likely decreasing,0.88
Guatemala,0.82 (0.69 -- 0.93),0.82,0.81,0.073,0.69,0.77,0.8,0.83,0.86,0.93,Effective reproduction no.,Decreasing,1
Zimbabwe,0.82 (0.55 -- 1.2),0.82,0.84,0.2,0.55,0.7,0.77,0.87,0.96,1.2,Effective reproduction no.,Likely decreasing,0.81
Cape Verde,0.81 (0.57 -- 1.1),0.81,0.83,0.18,0.57,0.71,0.77,0.85,0.92,1.1,Effective reproduction no.,Likely decreasing,0.86
Fiji,0.81 (0.52 -- 1.1),0.81,0.81,0.18,0.52,0.69,0.76,0.85,0.92,1.1,Effective reproduction no.,Likely decreasing,0.87
Guernsey,0.81 (0.26 -- 1.2),0.81,0.78,0.3,0.26,0.6,0.74,0.87,0.96,1.2,Effective reproduction no.,Likely decreasing,0.81
Qatar,0.81 (0.54 -- 1.1),0.81,0.82,0.18,0.54,0.7,0.76,0.86,0.93,1.1,Effective reproduction no.,Likely decreasing,0.85
St. Lucia,0.81 (0.62 -- 1),0.81,0.82,0.13,0.62,0.73,0.79,0.84,0.89,1,Effective reproduction no.,Likely decreasing,0.93
El Salvador,0.8 (0.7 -- 0.91),0.8,0.8,0.066,0.7,0.76,0.79,0.82,0.85,0.91,Effective reproduction no.,Decreasing,1
Côte d’Ivoire,0.79 (0.62 -- 1),0.79,0.8,0.12,0.62,0.72,0.76,0.82,0.87,1,Effective reproduction no.,Likely decreasing,0.94
Estonia,0.79 (0.62 -- 0.98),0.79,0.79,0.11,0.62,0.72,0.76,0.82,0.86,0.98,Effective reproduction no.,Decreasing,0.96
Mayotte,0.79 (0.51 -- 1.1),0.79,0.8,0.18,0.51,0.68,0.75,0.84,0.91,1.1,Effective reproduction no.,Likely decreasing,0.87
Yemen,0.79 (0.61 -- 1),0.79,0.79,0.12,0.61,0.71,0.76,0.82,0.87,1,Effective reproduction no.,Decreasing,0.95
Comoros,0.78 (0.24 -- 1.6),0.78,0.83,0.43,0.24,0.52,0.67,0.89,1.1,1.6,Effective reproduction no.,Likely decreasing,0.69
Ghana,0.78 (0.56 -- 1),0.78,0.79,0.15,0.56,0.69,0.75,0.82,0.88,1,Effective reproduction no.,Likely decreasing,0.93
Oman,0.78 (0.58 -- 1),0.78,0.78,0.12,0.58,0.7,0.75,0.81,0.86,1,Effective reproduction no.,Decreasing,0.95
Zambia,0.78 (0.49 -- 1.2),0.78,0.8,0.2,0.49,0.65,0.73,0.83,0.92,1.2,Effective reproduction no.,Likely decreasing,0.85
Angola,0.77 (0.62 -- 0.95),0.77,0.77,0.099,0.62,0.71,0.74,0.79,0.84,0.95,Effective reproduction no.,Decreasing,0.98
Eswatini,0.77 (0.5 -- 1.1),0.77,0.78,0.19,0.5,0.65,0.72,0.81,0.89,1.1,Effective reproduction no.,Likely decreasing,0.88
Saint Martin (French part),0.77 (0.42 -- 1.2),0.77,0.79,0.25,0.42,0.64,0.72,0.83,0.91,1.2,Effective reproduction no.,Likely decreasing,0.85
Kenya,0.76 (0.59 -- 0.94),0.76,0.76,0.11,0.59,0.69,0.73,0.79,0.83,0.94,Effective reproduction no.,Decreasing,0.98
Mongolia,0.76 (0.56 -- 0.98),0.76,0.76,0.13,0.56,0.68,0.73,0.79,0.84,0.98,Effective reproduction no.,Decreasing,0.96
Guinea,0.75 (0.52 -- 1),0.75,0.76,0.16,0.52,0.66,0.71,0.79,0.86,1,Effective reproduction no.,Likely decreasing,0.92
Morocco,0.75 (0.58 -- 0.95),0.75,0.75,0.11,0.58,0.67,0.72,0.77,0.82,0.95,Effective reproduction no.,Decreasing,0.97
Moldova,0.74 (0.65 -- 0.84),0.74,0.74,0.058,0.65,0.7,0.73,0.76,0.78,0.84,Effective reproduction no.,Decreasing,1
Uganda,0.71 (0.44 -- 1),0.71,0.72,0.18,0.44,0.59,0.67,0.76,0.84,1,Effective reproduction no.,Likely decreasing,0.94
St. Kitts & Nevis,0.7 (0.22 -- 1.2),0.7,0.71,0.33,0.22,0.51,0.63,0.77,0.88,1.2,Effective reproduction no.,Likely decreasing,0.86
Sint Maarten,0.69 (0.33 -- 1),0.69,0.68,0.21,0.33,0.55,0.64,0.73,0.81,1,Effective reproduction no.,Decreasing,0.95
Togo,0.69 (0.48 -- 0.94),0.69,0.7,0.14,0.48,0.61,0.66,0.73,0.78,0.94,Effective reproduction no.,Decreasing,0.97
South Sudan,0.68 (0.35 -- 1.1),0.68,0.69,0.23,0.35,0.54,0.63,0.74,0.84,1.1,Effective reproduction no.,Likely decreasing,0.92
Somalia,0.67 (0.38 -- 1),0.67,0.68,0.2,0.38,0.55,0.62,0.72,0.81,1,Effective reproduction no.,Likely decreasing,0.94
Brunei,0.66 (0.32 -- 1.1),0.66,0.68,0.24,0.32,0.52,0.61,0.72,0.8,1.1,Effective reproduction no.,Likely decreasing,0.92
Guadeloupe,0.66 (0.41 -- 0.99),0.66,0.68,0.18,0.41,0.56,0.62,0.71,0.79,0.99,Effective reproduction no.,Decreasing,0.95
St. Vincent & Grenadines,0.65 (0.33 -- 1.1),0.65,0.68,0.26,0.33,0.51,0.6,0.71,0.8,1.1,Effective reproduction no.,Likely decreasing,0.91
Liechtenstein,0.62 (0.14 -- 1.3),0.62,0.66,0.38,0.14,0.4,0.53,0.71,0.87,1.3,Effective reproduction no.,Likely decreasing,0.84
Benin,0.6 (0.31 -- 0.98),0.6,0.61,0.21,0.31,0.47,0.54,0.65,0.74,0.98,Effective reproduction no.,Decreasing,0.95
Djibouti,0.6 (0.25 -- 1.2),0.6,0.64,0.29,0.25,0.44,0.54,0.67,0.8,1.2,Effective reproduction no.,Likely decreasing,0.89
New Caledonia,0.6 (0.2 -- 1.3),0.6,0.66,0.37,0.2,0.42,0.53,0.67,0.81,1.3,Effective reproduction no.,Likely decreasing,0.87
Nigeria,0.58 (0.34 -- 0.93),0.58,0.6,0.18,0.34,0.47,0.54,0.63,0.71,0.93,Effective reproduction no.,Decreasing,0.97
Timor-Leste,0.57 (0.2 -- 1.3),0.57,0.63,0.35,0.2,0.4,0.5,0.64,0.79,1.3,Effective reproduction no.,Likely decreasing,0.88
Finland,0.55 (0.35 -- 0.79),0.55,0.56,0.13,0.35,0.46,0.51,0.58,0.64,0.79,Effective reproduction no.,Decreasing,1
French Polynesia,0.55 (0.26 -- 1),0.55,0.58,0.24,0.26,0.41,0.49,0.6,0.71,1,Effective reproduction no.,Decreasing,0.95
Gibraltar,0.5 (0.054 -- 1.9),0.5,0.68,0.67,0.054,0.24,0.4,0.62,0.89,1.9,Effective reproduction no.,Likely decreasing,0.79
