Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
San Marino,0 (0 -- 0),Likely decreasing,0.93 (0.53 -- 1.5),-0.021 (-0.14 -- 0.12),-34 (5.6 -- -4.9)
Saudi Arabia,1 (0 -- 2),Likely decreasing,0.96 (0.85 -- 1.1),-0.012 (-0.043 -- 0.024),-59 (29 -- -16)
Senegal,0 (0 -- 0),Likely decreasing,0.92 (0.71 -- 1.2),-0.022 (-0.084 -- 0.05),-32 (14 -- -8.2)
Seychelles,0 (0 -- 0),Stable,0.99 (0.87 -- 1.2),-0.0022 (-0.037 -- 0.05),-320 (14 -- -19)
Sierra Leone,0 (0 -- 0),Likely decreasing,0.49 (0.12 -- 1.3),-0.15 (-0.3 -- 0.083),-4.5 (8.4 -- -2.3)
Singapore,5 (3 -- 9),Likely decreasing,0.9 (0.77 -- 1.1),-0.027 (-0.067 -- 0.024),-25 (29 -- -10)
Sint Maarten,0 (0 -- 0),Decreasing,0.69 (0.33 -- 1),-0.09 (-0.21 -- 0.0016),-7.7 (430 -- -3.3)
Slovakia,100 (54 -- 195),Likely increasing,1.1 (0.91 -- 1.4),0.032 (-0.024 -- 0.099),22 (7 -- -29)
Somalia,0 (0 -- 2),Likely decreasing,0.67 (0.38 -- 1),-0.095 (-0.19 -- 0.0066),-7.3 (100 -- -3.6)
South Africa,26 (13 -- 54),Likely increasing,1.1 (0.88 -- 1.3),0.016 (-0.034 -- 0.078),44 (8.9 -- -20)
South Korea,54 (35 -- 82),Likely increasing,1.1 (0.92 -- 1.3),0.026 (-0.022 -- 0.072),27 (9.6 -- -32)
South Sudan,0 (0 -- 0),Likely decreasing,0.68 (0.35 -- 1.1),-0.092 (-0.21 -- 0.02),-7.5 (34 -- -3.4)
St. Kitts & Nevis,0 (0 -- 0),Likely decreasing,0.7 (0.22 -- 1.2),-0.085 (-0.25 -- 0.055),-8.1 (13 -- -2.7)
St. Lucia,0 (0 -- 0),Likely decreasing,0.81 (0.62 -- 1),-0.052 (-0.11 -- 0.0059),-13 (120 -- -6.2)
St. Vincent & Grenadines,0 (0 -- 0),Likely decreasing,0.65 (0.33 -- 1.1),-0.1 (-0.21 -- 0.032),-6.9 (22 -- -3.3)
Sudan,3 (0 -- 19),Stable,0.97 (0.62 -- 1.5),-0.0084 (-0.11 -- 0.13),-83 (5.4 -- -6.2)
Suriname,1 (0 -- 2),Likely decreasing,0.88 (0.68 -- 1.1),-0.034 (-0.094 -- 0.032),-20 (21 -- -7.4)
Syria,3 (1 -- 6),Likely decreasing,0.9 (0.7 -- 1.1),-0.028 (-0.085 -- 0.037),-24 (19 -- -8.1)
São Tomé & Príncipe,0 (0 -- 0),Likely decreasing,0.35 (0.042 -- 1.4),-0.2 (-0.34 -- 0.1),-3.4 (6.9 -- -2)
Tajikistan,0 (0 -- 0),Likely decreasing,0.41 (0.06 -- 1.4),-0.18 (-0.33 -- 0.11),-3.8 (6.5 -- -2.1)
Tanzania,0 (0 -- 1),Likely decreasing,0.22 (0.011 -- 2.3),-0.26 (-0.37 -- 0.31),-2.7 (2.3 -- -1.9)
Timor-Leste,0 (0 -- 0),Likely decreasing,0.57 (0.2 -- 1.3),-0.13 (-0.26 -- 0.069),-5.5 (10 -- -2.6)
Togo,0 (0 -- 0),Decreasing,0.69 (0.48 -- 0.94),-0.089 (-0.16 -- -0.017),-7.8 (-40 -- -4.4)
Trinidad & Tobago,32 (19 -- 54),Likely increasing,1.1 (0.96 -- 1.4),0.04 (-0.011 -- 0.096),17 (7.2 -- -65)
Tunisia,1 (0 -- 3),Likely decreasing,0.86 (0.71 -- 1),-0.038 (-0.083 -- 0.0098),-18 (71 -- -8.4)
Turks & Caicos Islands,0 (0 -- 0),Stable,0.99 (0.78 -- 1.2),-0.0015 (-0.062 -- 0.063),-460 (11 -- -11)
U.S. Virgin Islands,0 (0 -- 0),Likely decreasing,0.94 (0.79 -- 1.1),-0.017 (-0.061 -- 0.036),-42 (19 -- -11)
Uganda,0 (0 -- 1),Likely decreasing,0.71 (0.44 -- 1),-0.082 (-0.17 -- 0.0073),-8.4 (95 -- -4.1)
Ukraine,375 (278 -- 508),Decreasing,0.89 (0.8 -- 1),-0.03 (-0.057 -- -0.0013),-23 (-530 -- -12)
United Arab Emirates,0 (0 -- 0),Likely decreasing,0.87 (0.68 -- 1.1),-0.036 (-0.092 -- 0.027),-19 (26 -- -7.6)
United Kingdom,101 (64 -- 162),Likely decreasing,0.95 (0.8 -- 1.1),-0.013 (-0.057 -- 0.038),-54 (18 -- -12)
United States,1188 (810 -- 1832),Likely increasing,1 (0.9 -- 1.2),0.013 (-0.028 -- 0.064),53 (11 -- -25)
Uruguay,1 (0 -- 3),Stable,0.99 (0.8 -- 1.2),-0.0016 (-0.055 -- 0.056),-420 (12 -- -13)
Uzbekistan,3 (1 -- 6),Likely increasing,1 (0.9 -- 1.2),0.013 (-0.028 -- 0.06),54 (12 -- -25)
Venezuela,6 (4 -- 9),Likely decreasing,0.96 (0.87 -- 1.1),-0.01 (-0.036 -- 0.018),-67 (39 -- -19)
Vietnam,307 (122 -- 821),Likely increasing,1.2 (0.89 -- 1.6),0.057 (-0.03 -- 0.16),12 (4.4 -- -23)
Yemen,0 (0 -- 1),Decreasing,0.79 (0.61 -- 1),-0.06 (-0.12 -- 0.00012),-12 (6000 -- -6)
Zambia,0 (0 -- 0),Likely decreasing,0.78 (0.49 -- 1.2),-0.063 (-0.15 -- 0.041),-11 (17 -- -4.6)
Zimbabwe,0 (0 -- 1),Likely decreasing,0.82 (0.55 -- 1.2),-0.051 (-0.13 -- 0.049),-14 (14 -- -5.2)
