region,date,confirm
Swindon,2021-10-18,7
Peterborough,2021-10-18,6
Luton,2021-10-18,3
Southend-on-Sea,2021-10-18,2
Thurrock,2021-10-18,2
Medway,2021-10-18,1
Bracknell Forest,2021-10-18,1
West Berkshire,2021-10-18,1
Reading,2021-10-18,1
Slough,2021-10-18,2
Windsor and Maidenhead,2021-10-18,1
Wokingham,2021-10-18,1
Milton Keynes,2021-10-18,3
Brighton and Hove,2021-10-18,2
Portsmouth,2021-10-18,3
Southampton,2021-10-18,4
Isle of Wight,2021-10-18,2
County Durham,2021-10-18,19
Cheshire East,2021-10-18,5
Cheshire West and Chester,2021-10-18,3
Shropshire,2021-10-18,4
Cornwall,2021-10-18,15
Wiltshire,2021-10-18,7
Bedford,2021-10-18,3
Central Bedfordshire,2021-10-18,3
Northumberland,2021-10-18,5
"Bournemouth, Christchurch and Poole",2021-10-18,7
Dorset,2021-10-18,8
Buckinghamshire,2021-10-18,9
Bolton,2021-10-18,4
Bury,2021-10-18,3
Manchester,2021-10-18,9
Oldham,2021-10-18,4
Rochdale,2021-10-18,3
Salford,2021-10-18,3
Stockport,2021-10-18,9
Tameside,2021-10-18,5
Trafford,2021-10-18,5
Wigan,2021-10-18,2
Knowsley,2021-10-18,4
Liverpool,2021-10-18,10
St. Helens,2021-10-18,5
Sefton,2021-10-18,4
Wirral,2021-10-18,1
Barnsley,2021-10-18,10
Doncaster,2021-10-18,7
Rotherham,2021-10-18,5
Sheffield,2021-10-18,17
Newcastle upon Tyne,2021-10-18,7
North Tyneside,2021-10-18,4
South Tyneside,2021-10-18,4
Sunderland,2021-10-18,8
Birmingham,2021-10-18,16
Coventry,2021-10-18,6
Dudley,2021-10-18,4
Sandwell,2021-10-18,4
Solihull,2021-10-18,3
Walsall,2021-10-18,9
Wolverhampton,2021-10-18,4
Bradford,2021-10-18,22
Calderdale,2021-10-18,3
Kirklees,2021-10-18,7
Leeds,2021-10-18,17
Wakefield,2021-10-18,5
Gateshead,2021-10-18,2
Barking and Dagenham,2021-10-18,2
Barnet,2021-10-18,6
Bexley,2021-10-18,1
Brent,2021-10-18,6
Bromley,2021-10-18,2
Camden,2021-10-18,4
Croydon,2021-10-18,2
Ealing,2021-10-18,4
Enfield,2021-10-18,2
Greenwich,2021-10-18,1
Hackney,2021-10-18,2
Hammersmith and Fulham,2021-10-18,2
Haringey,2021-10-18,3
Harrow,2021-10-18,3
Havering,2021-10-18,3
Hillingdon,2021-10-18,1
Hounslow,2021-10-18,2
Islington,2021-10-18,4
Kensington and Chelsea,2021-10-18,2
Kingston upon Thames,2021-10-18,2
Lambeth,2021-10-18,2
Lewisham,2021-10-18,2
Merton,2021-10-18,2
Newham,2021-10-18,3
Redbridge,2021-10-18,3
Richmond upon Thames,2021-10-18,1
Southwark,2021-10-18,1
Sutton,2021-10-18,2
Tower Hamlets,2021-10-18,2
Waltham Forest,2021-10-18,2
Wandsworth,2021-10-18,2
Westminster,2021-10-18,3
Cambridgeshire,2021-10-18,7
Cumbria,2021-10-18,8
Derbyshire,2021-10-18,8
Devon,2021-10-18,12
East Sussex,2021-10-18,1
Essex,2021-10-18,14
Gloucestershire,2021-10-18,9
Hampshire,2021-10-18,18
Hertfordshire,2021-10-18,13
Kent,2021-10-18,14
Lancashire,2021-10-18,22
Leicestershire,2021-10-18,8
Lincolnshire,2021-10-18,8
Norfolk,2021-10-18,9
Northamptonshire,2021-10-18,4
North Yorkshire,2021-10-18,14
Nottinghamshire,2021-10-18,12
Oxfordshire,2021-10-18,15
Somerset,2021-10-18,10
Staffordshire,2021-10-18,11
Suffolk,2021-10-18,8
Surrey,2021-10-18,14
Warwickshire,2021-10-18,14
West Sussex,2021-10-18,7
Worcestershire,2021-10-18,6
Hartlepool,2021-10-19,2
Middlesbrough,2021-10-19,4
Redcar and Cleveland,2021-10-19,2
Stockton-on-Tees,2021-10-19,5
Darlington,2021-10-19,4
Halton,2021-10-19,2
Warrington,2021-10-19,3
Blackburn with Darwen,2021-10-19,3
Blackpool,2021-10-19,6
"Kingston upon Hull, City of",2021-10-19,1
East Riding of Yorkshire,2021-10-19,2
North East Lincolnshire,2021-10-19,1
North Lincolnshire,2021-10-19,2
York,2021-10-19,2
Derby,2021-10-19,3
Leicester,2021-10-19,8
Rutland,2021-10-19,0
Nottingham,2021-10-19,5
"Herefordshire, County of",2021-10-19,3
Telford and Wrekin,2021-10-19,4
Stoke-on-Trent,2021-10-19,5
Bath and North East Somerset,2021-10-19,4
"Bristol, City of",2021-10-19,3
North Somerset,2021-10-19,1
South Gloucestershire,2021-10-19,4
Plymouth,2021-10-19,6
Torbay,2021-10-19,0
Swindon,2021-10-19,14
Peterborough,2021-10-19,8
Luton,2021-10-19,3
Southend-on-Sea,2021-10-19,2
Thurrock,2021-10-19,2
Medway,2021-10-19,1
Bracknell Forest,2021-10-19,1
West Berkshire,2021-10-19,1
Reading,2021-10-19,2
