region,time
Alberta,35.8
British Columbia,27.5
Manitoba,20.7
New Brunswick,13.4
Newfoundland and Labrador,21.9
Northwest Territories,9.9
Nova Scotia,26.9
Nunavut,11.6
Ontario,25
Prince Edward Island,6.9
Quebec,41.5
Saskatchewan,15.9
