region,date,confirm
Kerala,2021-05-28,22318
Ladakh,2021-05-28,124
Lakshadweep,2021-05-28,178
Madhya Pradesh,2021-05-28,1854
Maharashtra,2021-05-28,20740
Manipur,2021-05-28,732
Meghalaya,2021-05-28,731
Mizoram,2021-05-28,239
Nagaland,2021-05-28,192
NCT of Delhi,2021-05-28,1141
Odisha,2021-05-28,7216
Puducherry,2021-05-28,1223
Punjab,2021-05-28,3706
Rajasthan,2021-05-28,2648
Sikkim,2021-05-28,420
Tamil Nadu,2021-05-28,31079
Telangana,2021-05-28,3527
Tripura,2021-05-28,783
Uttar Pradesh,2021-05-28,2276
Uttarakhand,2021-05-28,1942
West Bengal,2021-05-28,12193
Andaman and Nicobar,2021-05-29,28
Andhra Pradesh,2021-05-29,13756
Arunachal Pradesh,2021-05-29,461
Assam,2021-05-29,5613
Bihar,2021-05-29,1491
Chandigarh,2021-05-29,163
Chhattisgarh,2021-05-29,2437
Dadra and Nagar Haveli,2021-05-29,7
Daman and Diu,2021-05-29,0
Goa,2021-05-29,963
Gujarat,2021-05-29,2230
Haryana,2021-05-29,1868
Himachal Pradesh,2021-05-29,1262
Jammu and Kashmir,2021-05-29,2253
Jharkhand,2021-05-29,823
Karnataka,2021-05-29,20628
Kerala,2021-05-29,23513
Ladakh,2021-05-29,138
Lakshadweep,2021-05-29,89
Madhya Pradesh,2021-05-29,1640
Maharashtra,2021-05-29,20295
Manipur,2021-05-29,1007
Meghalaya,2021-05-29,613
Mizoram,2021-05-29,277
Nagaland,2021-05-29,156
NCT of Delhi,2021-05-29,956
Odisha,2021-05-29,7188
Puducherry,2021-05-29,996
Punjab,2021-05-29,3036
Rajasthan,2021-05-29,2314
Sikkim,2021-05-29,273
Tamil Nadu,2021-05-29,30016
Telangana,2021-05-29,2982
Tripura,2021-05-29,595
Uttar Pradesh,2021-05-29,2014
Uttarakhand,2021-05-29,1687
West Bengal,2021-05-29,11514
Andaman and Nicobar,2021-05-30,20
Andhra Pradesh,2021-05-30,13400
Arunachal Pradesh,2021-05-30,172
Assam,2021-05-30,3245
Bihar,2021-05-30,1475
Chandigarh,2021-05-30,182
Chhattisgarh,2021-05-30,1655
Dadra and Nagar Haveli,2021-05-30,14
Daman and Diu,2021-05-30,0
Goa,2021-05-30,645
Gujarat,2021-05-30,1871
Haryana,2021-05-30,1452
Himachal Pradesh,2021-05-30,861
Jammu and Kashmir,2021-05-30,2256
Jharkhand,2021-05-30,703
Karnataka,2021-05-30,20378
Kerala,2021-05-30,19894
Ladakh,2021-05-30,49
Lakshadweep,2021-05-30,297
Madhya Pradesh,2021-05-30,1476
Maharashtra,2021-05-30,18600
Manipur,2021-05-30,1032
Meghalaya,2021-05-30,742
Mizoram,2021-05-30,329
Nagaland,2021-05-30,192
NCT of Delhi,2021-05-30,946
Odisha,2021-05-30,9541
Puducherry,2021-05-30,930
Punjab,2021-05-30,2584
Rajasthan,2021-05-30,2298
Sikkim,2021-05-30,264
Tamil Nadu,2021-05-30,28864
Telangana,2021-05-30,1801
Tripura,2021-05-30,854
Uttar Pradesh,2021-05-30,1864
Uttarakhand,2021-05-30,1226
West Bengal,2021-05-30,11284
Andaman and Nicobar,2021-05-31,21
Andhra Pradesh,2021-05-31,7943
Arunachal Pradesh,2021-05-31,322
Assam,2021-05-31,4348
Bihar,2021-05-31,1113
Chandigarh,2021-05-31,124
Chhattisgarh,2021-05-31,2163
Dadra and Nagar Haveli,2021-05-31,63
Daman and Diu,2021-05-31,0
Goa,2021-05-31,602
Gujarat,2021-05-31,1681
Haryana,2021-05-31,1246
Himachal Pradesh,2021-05-31,865
Jammu and Kashmir,2021-05-31,1525
Jharkhand,2021-05-31,831
Karnataka,2021-05-31,16604
Kerala,2021-05-31,12300
Ladakh,2021-05-31,165
Lakshadweep,2021-05-31,149
Madhya Pradesh,2021-05-31,1205
Maharashtra,2021-05-31,15077
Manipur,2021-05-31,869
Meghalaya,2021-05-31,408
Mizoram,2021-05-31,99
Nagaland,2021-05-31,117
NCT of Delhi,2021-05-31,648
Odisha,2021-05-31,8313
Puducherry,2021-05-31,627
Punjab,2021-05-31,2192
Rajasthan,2021-05-31,1498
Sikkim,2021-05-31,146
Tamil Nadu,2021-05-31,27936
Telangana,2021-05-31,2524
Tripura,2021-05-31,394
Uttar Pradesh,2021-05-31,1472
Uttarakhand,2021-05-31,1156
West Bengal,2021-05-31,10137
Andaman and Nicobar,2021-06-01,13
Andhra Pradesh,2021-06-01,11303
Arunachal Pradesh,2021-06-01,370
Assam,2021-06-01,4682
Bihar,2021-06-01,1174
Chandigarh,2021-06-01,108
Chhattisgarh,2021-06-01,1886
Dadra and Nagar Haveli,2021-06-01,31
Daman and Diu,2021-06-01,0
Goa,2021-06-01,903
Gujarat,2021-06-01,1561
Haryana,2021-06-01,1233
Himachal Pradesh,2021-06-01,921
Jammu and Kashmir,2021-06-01,1895
Jharkhand,2021-06-01,609
Karnataka,2021-06-01,14304
Kerala,2021-06-01,19760
Ladakh,2021-06-01,88
Lakshadweep,2021-06-01,89
Madhya Pradesh,2021-06-01,1078
Maharashtra,2021-06-01,14123
Manipur,2021-06-01,798
Meghalaya,2021-06-01,467
Mizoram,2021-06-01,312
Nagaland,2021-06-01,174
NCT of Delhi,2021-06-01,623
Odisha,2021-06-01,8735
Puducherry,2021-06-01,979
Punjab,2021-06-01,2149
Rajasthan,2021-06-01,1002
Sikkim,2021-06-01,309
Tamil Nadu,2021-06-01,26513
Telangana,2021-06-01,2493
Tripura,2021-06-01,841
Uttar Pradesh,2021-06-01,1221
Uttarakhand,2021-06-01,981
West Bengal,2021-06-01,9424
Andaman and Nicobar,2021-06-02,25
Andhra Pradesh,2021-06-02,12768
Arunachal Pradesh,2021-06-02,376
Assam,2021-06-02,4178
Bihar,2021-06-02,1158
Chandigarh,2021-06-02,134
Chhattisgarh,2021-06-02,1792
Dadra and Nagar Haveli,2021-06-02,17
Daman and Diu,2021-06-02,0
Goa,2021-06-02,706
